name x y flux0 flux1 flux2 width rv
F04048 -44.374 -19.528 3.08e-17 2.21e-17 1.40e-17 22.18 1627.60
F04031 -44.352 -19.594 4.25e-17 2.57e-17 1.44e-17 17.78 1627.61
F04051 -44.285 -19.329 1.81e-17 1.91e-17 9.22e-18 15.72 1627.40
F04053 -44.268 -19.396 2.67e-17 1.80e-17 9.41e-18 24.77 1627.77
F04042 -44.264 -19.530 4.56e-17 3.37e-17 2.24e-17 16.02 1627.59
F04056 -44.259 -19.431 2.60e-17 1.41e-17 1.03e-17 17.13 1627.85
F04039 -44.256 -19.418 1.78e-17 1.59e-17 7.39e-18 19.69 1627.57
F04049 -44.249 -19.237 3.38e-17 3.12e-17 1.44e-17 26.47 1627.60
F04032 -44.242 -19.483 3.46e-17 2.45e-17 1.93e-17 23.59 1627.50
F04047 -44.235 -19.456 2.12e-17 1.78e-17 1.03e-17 21.07 1627.46
F04046 -44.234 -19.379 1.49e-17 1.42e-17 8.70e-18 21.46 1627.59
F04038 -44.230 -19.428 1.99e-17 1.73e-17 1.13e-17 21.37 1627.49
F04054 -44.223 -19.429 1.47e-17 1.09e-17 8.48e-18 19.63 1627.66
F04037 -44.214 -19.417 2.09e-17 1.45e-17 1.00e-17 20.69 1627.46
F04050 -44.213 -19.420 1.54e-17 1.07e-17 6.76e-18 22.16 1627.58
F04036 -44.212 -19.431 2.80e-17 1.92e-17 1.03e-17 19.86 1627.51
F04029 -44.212 -19.430 2.35e-17 1.52e-17 1.33e-17 21.18 1627.52
F04028 -44.206 -19.434 4.66e-17 2.10e-17 1.86e-17 21.41 1627.74
F04055 -44.202 -19.431 2.37e-17 1.91e-17 1.02e-17 21.94 1627.60
F04030 -44.199 -19.408 2.24e-17 1.57e-17 1.00e-17 25.21 1627.49
F04057 -44.196 -19.431 2.72e-17 2.77e-17 1.33e-17 13.90 1627.65
F04044 -44.192 -19.378 3.19e-17 2.23e-17 1.88e-17 22.23 1627.47
F04045 -44.154 -19.226 3.74e-17 2.86e-17 2.15e-17 21.65 1627.84
F04034 -44.122 -19.424 2.15e-17 1.39e-17 1.07e-17 27.60 1627.53
F06353 -41.838 -20.487 2.49e-17 1.58e-17 9.76e-18 21.86 1771.72
F01715 -41.811 -16.872 3.21e-17 2.12e-17 1.24e-17 27.09 1693.26
F06338 -41.794 -20.626 3.87e-17 2.47e-17 1.75e-17 16.71 1771.83
F06354 -41.781 -20.793 3.16e-17 2.02e-17 1.16e-17 15.81 1771.74
F06349 -41.748 -20.559 2.00e-17 1.09e-17 1.06e-17 22.85 1771.87
F06342 -41.727 -20.555 2.27e-17 1.30e-17 8.13e-18 20.26 1771.68
F01720 -41.726 -17.365 2.62e-17 1.87e-17 1.41e-17 21.11 1693.45
F01718 -41.721 -17.189 2.84e-17 1.67e-17 1.44e-17 24.09 1693.22
F06333 -41.709 -20.624 2.80e-17 1.43e-17 1.03e-17 20.22 1771.73
F01724 -41.709 -17.474 3.58e-17 2.10e-17 1.46e-17 15.74 1693.44
F01713 -41.708 -17.375 6.28e-17 2.09e-17 2.27e-17 20.38 1693.44
F01700 -41.704 -17.559 4.47e-17 2.99e-17 2.39e-17 20.96 1693.31
F01706 -41.696 -17.285 2.40e-17 1.52e-17 1.31e-17 20.67 1693.40
F06339 -41.695 -20.543 2.18e-17 1.51e-17 1.40e-17 18.07 1771.77
F06336 -41.689 -20.556 1.33e-17 1.31e-17 7.41e-18 23.51 1771.71
F06348 -41.689 -20.573 2.82e-17 2.01e-17 1.47e-17 17.38 1771.84
F06352 -41.684 -20.570 2.33e-17 2.13e-17 1.53e-17 22.68 1771.48
F06345 -41.682 -20.553 2.93e-17 1.92e-17 1.82e-17 18.43 1771.58
F06347 -41.681 -20.555 2.90e-17 2.44e-17 1.66e-17 18.06 1771.66
F06351 -41.679 -20.688 3.26e-17 2.18e-17 9.69e-18 16.72 1771.63
F06337 -41.679 -20.546 1.84e-17 1.84e-17 9.09e-18 13.11 1771.72
F01711 -41.670 -17.475 2.87e-17 1.79e-17 1.26e-17 21.93 1693.54
F01703 -41.660 -17.322 3.44e-17 2.40e-17 1.75e-17 23.90 1693.50
F01709 -41.657 -17.374 1.77e-17 1.36e-17 9.45e-18 25.58 1693.46
F01701 -41.649 -17.358 3.25e-17 2.27e-17 1.01e-17 26.76 1693.22
F01693 -41.643 -17.376 3.26e-17 2.33e-17 2.16e-17 17.63 1693.58
F06358 -41.642 -20.686 1.80e-17 1.42e-17 1.04e-17 25.22 1771.87
F01695 -41.638 -17.329 1.21e-17 1.20e-17 8.17e-18 21.62 1693.41
F01723 -41.635 -17.371 2.45e-17 1.48e-17 7.89e-18 19.89 1693.22
F06341 -41.631 -20.544 2.22e-17 1.64e-17 9.37e-18 20.42 1771.74
F06355 -41.631 -20.596 1.89e-17 1.16e-17 7.51e-18 20.41 1771.89
F01721 -41.625 -17.337 1.96e-17 1.28e-17 7.31e-18 18.75 1693.53
F06360 -41.620 -20.473 1.44e-17 1.54e-17 9.29e-18 17.48 1771.71
F01716 -41.618 -17.327 3.91e-17 1.54e-17 1.54e-17 27.17 1693.29
F01702 -41.617 -17.427 5.50e-17 3.37e-17 2.44e-17 18.30 1693.44
F06343 -41.589 -20.403 3.50e-17 2.13e-17 1.46e-17 21.33 1771.75
F06357 -41.589 -20.571 3.05e-17 2.92e-17 1.46e-17 20.81 1771.65
F06362 -41.569 -20.694 1.67e-17 1.36e-17 9.25e-18 24.73 1771.77
F01722 -41.558 -16.938 1.72e-17 1.35e-17 8.33e-18 12.71 1693.32
F01698 -41.512 -17.110 2.86e-17 2.72e-17 1.76e-17 17.94 1693.45
F01697 -41.456 -17.342 3.71e-17 3.44e-17 1.94e-17 21.65 1693.39
F01705 -41.418 -17.436 3.05e-17 1.66e-17 1.34e-17 17.80 1693.33
F06346 -41.332 -20.458 2.81e-17 1.68e-17 1.26e-17 14.62 1771.69
F03641 -33.684 -21.477 2.99e-17 2.41e-17 1.39e-17 22.15 1940.07
F03643 -33.485 -20.862 2.37e-17 2.05e-17 9.30e-18 22.30 1940.03
F03673 -33.410 -20.919 2.46e-17 1.60e-17 1.60e-17 15.93 1940.15
F03662 -33.408 -21.007 1.92e-17 1.71e-17 7.06e-18 20.96 1940.10
F03668 -33.393 -20.874 2.11e-17 1.22e-17 8.90e-18 17.22 1940.14
F03658 -33.380 -20.931 1.73e-17 1.12e-17 9.37e-18 19.93 1940.22
F03661 -33.373 -20.926 2.01e-17 2.05e-17 1.31e-17 16.35 1940.26
F03651 -33.364 -20.977 2.42e-17 2.03e-17 1.09e-17 19.58 1940.03
F03654 -33.361 -20.947 2.64e-17 2.00e-17 1.22e-17 17.72 1940.00
F03669 -33.360 -20.931 1.54e-17 1.21e-17 6.38e-18 17.05 1940.23
F03672 -33.357 -20.992 2.74e-17 2.27e-17 1.34e-17 17.89 1939.99
F03667 -33.355 -20.946 2.08e-17 1.73e-17 1.11e-17 19.24 1940.24
F03645 -33.323 -20.956 1.49e-17 1.24e-17 6.18e-18 17.57 1940.32
F03656 -33.311 -20.955 3.56e-17 2.54e-17 1.65e-17 14.78 1940.39
F03665 -33.300 -20.929 2.85e-17 2.05e-17 1.31e-17 19.97 1940.04
F03663 -33.238 -20.961 1.20e-17 1.06e-17 5.15e-18 15.51 1940.19
F03666 -33.234 -20.544 1.43e-17 1.30e-17 6.84e-18 17.52 1940.01
F03655 -33.207 -20.823 1.44e-17 1.27e-17 6.62e-18 19.77 1940.19
F03652 -33.091 -20.971 2.09e-17 1.01e-17 1.17e-17 16.28 1940.02
