name x y flux0 flux1 flux2 width rv
F04316 -21.149 -19.416 1.40e-17 1.06e-17 7.60e-18 17.37 2012.71
F04307 -20.894 -19.562 1.95e-17 1.16e-17 1.05e-17 14.14 2012.98
F04306 -20.859 -19.602 2.52e-17 1.23e-17 1.35e-17 20.28 2012.87
F04327 -20.851 -18.959 2.58e-17 1.61e-17 9.68e-18 19.33 2012.94
F04312 -20.828 -19.453 1.71e-17 1.21e-17 7.85e-18 15.50 2012.77
F04322 -20.818 -19.541 3.52e-17 2.25e-17 1.58e-17 17.93 2012.97
F04323 -20.795 -19.505 2.12e-17 1.29e-17 8.15e-18 14.76 2013.01
F04326 -20.782 -19.568 1.67e-17 1.09e-17 6.20e-18 20.45 2012.83
F04310 -20.782 -19.596 2.13e-17 1.04e-17 7.41e-18 17.63 2013.06
F04308 -20.779 -19.580 2.99e-17 1.85e-17 1.05e-17 17.83 2013.00
F04313 -20.767 -19.540 2.85e-17 1.50e-17 9.30e-18 18.60 2012.73
F04309 -20.762 -19.585 2.04e-17 1.16e-17 7.19e-18 19.41 2012.94
F04325 -20.751 -19.580 2.65e-17 1.86e-17 1.00e-17 14.90 2012.62
F04320 -20.746 -19.696 1.53e-17 1.82e-17 1.10e-17 18.28 2012.92
F04319 -20.743 -19.561 2.59e-17 2.35e-17 1.22e-17 20.23 2012.76
F04329 -20.742 -19.601 2.28e-17 1.34e-17 1.04e-17 17.43 2012.91
F04303 -20.738 -19.625 2.38e-17 1.41e-17 1.07e-17 21.74 2013.00
F04315 -20.737 -19.588 1.70e-17 1.26e-17 8.13e-18 13.41 2012.77
F04324 -20.714 -19.556 2.20e-17 2.03e-17 9.10e-18 14.99 2012.83
F04321 -20.708 -19.760 1.61e-17 1.49e-17 8.02e-18 17.65 2012.98
F04328 -20.674 -19.501 2.47e-17 2.49e-17 1.65e-17 18.68 2012.91
F06382 -18.990 -19.751 1.84e-17 1.47e-17 7.54e-18 16.52 1587.15
F06389 -18.982 -19.797 3.59e-17 2.25e-17 1.76e-17 27.15 1586.96
F06396 -18.971 -19.573 2.68e-17 1.12e-17 9.43e-18 22.27 1587.03
F06380 -18.857 -19.632 4.03e-17 3.02e-17 1.37e-17 22.81 1587.10
F06370 -18.856 -19.728 2.56e-17 2.00e-17 9.70e-18 16.50 1586.98
F06393 -18.852 -19.646 2.55e-17 1.71e-17 1.10e-17 23.06 1587.12
F06368 -18.845 -19.688 4.27e-17 3.05e-17 1.97e-17 23.48 1587.07
F06364 -18.839 -19.602 2.89e-17 3.18e-17 2.33e-17 18.81 1587.16
F06388 -18.823 -19.637 2.32e-17 1.93e-17 1.15e-17 21.16 1587.22
F06366 -18.820 -19.655 3.77e-17 3.49e-17 2.34e-17 24.57 1587.09
F06372 -18.819 -19.667 2.69e-17 1.77e-17 1.14e-17 22.12 1586.97
F06374 -18.818 -19.701 3.68e-17 3.05e-17 1.21e-17 21.91 1587.16
F06390 -18.817 -19.657 2.01e-17 1.23e-17 8.29e-18 16.77 1587.26
F06363 -18.814 -19.658 1.98e-17 1.37e-17 9.17e-18 28.33 1587.03
F06375 -18.814 -19.619 3.45e-17 3.23e-17 1.78e-17 24.62 1587.16
F06384 -18.808 -19.758 2.81e-17 2.32e-17 1.17e-17 22.83 1587.07
F06395 -18.800 -19.681 3.34e-17 2.95e-17 1.18e-17 24.99 1587.11
F06378 -18.792 -19.737 2.76e-17 1.65e-17 1.15e-17 21.38 1587.06
F06369 -18.788 -19.678 2.72e-17 1.59e-17 1.19e-17 16.79 1587.27
F06365 -18.787 -19.644 3.63e-17 2.40e-17 1.14e-17 22.27 1587.14
F06373 -18.784 -19.727 2.36e-17 1.79e-17 1.53e-17 18.03 1587.27
F06385 -18.778 -19.653 1.80e-17 2.26e-17 9.96e-18 17.26 1586.93
F06371 -18.776 -19.610 4.19e-17 2.18e-17 1.59e-17 13.57 1587.15
F06377 -18.773 -19.611 2.06e-17 1.12e-17 6.73e-18 26.54 1587.12
F06381 -18.771 -19.642 2.24e-17 1.77e-17 1.15e-17 29.63 1587.25
F06376 -18.769 -19.658 4.62e-17 3.67e-17 2.14e-17 17.19 1586.93
F06379 -18.725 -19.286 3.30e-17 3.60e-17 1.43e-17 22.32 1586.95
F06383 -18.725 -19.711 1.96e-17 1.68e-17 1.14e-17 19.93 1587.20
