name x y flux0 flux1 flux2 width rv
F00516  -4.800 -36.422 1.87e-17 1.22e-17 7.80e-18 16.68 2118.31
F00511  -4.790 -36.404 1.53e-17 1.05e-17 4.72e-18 15.13 2118.59
F00509  -4.785 -36.398 1.40e-17 1.08e-17 6.19e-18 14.44 2118.35
F00524  -4.782 -36.404 2.17e-17 1.64e-17 1.24e-17 15.31 2118.67
F00513  -4.782 -36.396 2.36e-17 1.49e-17 1.08e-17 12.84 2118.81
F00504  -4.781 -36.389 1.84e-17 1.41e-17 9.93e-18 15.53 2118.56
F00498  -4.780 -36.400 1.95e-17 1.70e-17 1.08e-17 14.15 2118.86
F00506  -4.780 -36.390 1.91e-17 1.75e-17 8.42e-18 11.82 2118.56
F00497  -4.780 -36.399 1.19e-17 1.12e-17 7.77e-18 14.70 2118.47
F00496  -4.779 -36.399 2.93e-17 1.58e-17 1.31e-17 14.52 2118.63
F00500  -4.779 -36.401 1.67e-17 1.12e-17 7.03e-18 16.42 2118.70
F00518  -4.778 -36.394 1.38e-17 1.10e-17 8.29e-18 15.26 2118.34
F00502  -4.778 -36.397 1.45e-17 1.36e-17 9.34e-18 20.94 2118.61
F00495  -4.778 -36.400 2.29e-17 1.35e-17 8.76e-18 13.05 2118.46
F00501  -4.776 -36.400 1.49e-17 1.30e-17 1.47e-17 14.17 2118.46
F00525  -4.776 -36.394 2.40e-17 1.60e-17 1.21e-17 13.47 2118.63
F00503  -4.774 -36.400 1.50e-17 1.26e-17 1.05e-17  9.53 2118.81
F00519  -4.774 -36.407 1.66e-17 1.58e-17 9.31e-18 12.81 2118.65
F00508  -4.756 -36.394 1.09e-17 1.09e-17 6.43e-18 13.56 2118.59
F05492  -0.202 -40.231 1.83e-17 1.11e-17 8.79e-18 18.06 2082.61
F05498  -0.154 -40.346 3.36e-17 1.44e-17 1.04e-17 19.15 2082.67
F05495  -0.095 -40.375 3.10e-17 2.23e-17 1.78e-17 17.33 2082.48
F05479  -0.088 -40.370 2.26e-17 1.98e-17 1.03e-17 14.24 2082.54
F05488  -0.065 -40.407 1.75e-17 1.59e-17 8.79e-18 13.51 2082.29
F05478  -0.063 -40.411 2.41e-17 1.35e-17 8.65e-18 17.76 2082.51
F05486  -0.028 -40.331 1.13e-17 1.39e-17 8.13e-18 12.15 2082.50
F05481  -0.022 -40.342 1.51e-17 1.15e-17 7.84e-18 17.92 2082.42
F05483  -0.018 -40.339 2.10e-17 1.46e-17 1.24e-17 19.93 2082.38
F05477  -0.013 -40.350 2.22e-17 1.14e-17 8.74e-18 17.78 2082.59
F05493  -0.013 -40.360 1.70e-17 1.36e-17 7.48e-18 15.16 2082.48
F05484  -0.013 -40.341 1.65e-17 1.31e-17 6.93e-18 22.38 2082.59
F05476  -0.011 -40.334 1.75e-17 1.26e-17 8.30e-18 14.66 2082.50
