name x y flux0 flux1 flux2 width rv
F05564   7.833  13.050 1.00e-16 5.92e-17 4.93e-17 50.64  597.78
F05577   7.844  13.776 2.26e-16 1.24e-16 9.77e-17 57.30  597.93
F05561   7.936  13.588 1.83e-16 1.15e-16 7.94e-17 62.95  597.97
F05586   8.053  13.594 1.34e-16 8.80e-17 6.61e-17 70.79  597.88
F05559   8.142  13.705 5.32e-17 3.02e-17 2.43e-17 52.43  597.87
F05570   8.182  13.379 9.93e-17 7.94e-17 3.92e-17 57.51  597.93
F05575   8.216  13.899 2.44e-16 1.62e-16 1.07e-16 50.31  597.82
F05571   8.234  13.673 1.33e-16 1.13e-16 7.66e-17 41.38  597.93
F05573   8.235  13.670 1.50e-16 8.86e-17 6.35e-17 52.51  597.86
F05581   8.247  13.662 3.34e-16 2.00e-16 1.46e-16 46.73  597.91
F05568   8.281  13.661 9.93e-17 6.31e-17 4.10e-17 48.52  598.00
F05576   8.290  13.663 2.36e-16 1.42e-16 1.02e-16 44.16  597.92
F05565   8.317  14.038 1.05e-16 6.87e-17 5.74e-17 72.19  597.88
F05582   8.324  13.574 2.24e-16 1.72e-16 1.35e-16 68.14  597.85
F05562   8.325  11.558 7.86e-17 7.52e-17 4.42e-17 52.90  597.62
F05563   8.339  13.631 1.33e-16 1.32e-16 8.57e-17 53.31  597.89
F05587   8.356  13.728 4.43e-17 2.95e-17 2.18e-17 51.62  597.92
F05569   8.368  13.740 1.92e-16 1.48e-16 1.05e-16 62.14  598.00
F05566   8.379  13.508 4.03e-17 3.35e-17 2.48e-17 49.47  597.98
F05584   8.407  13.700 2.33e-16 1.38e-16 7.65e-17 56.47  597.93
F05578   8.431  13.339 1.42e-16 1.23e-16 7.18e-17 54.91  597.92
F05572   8.476  13.114 1.41e-16 8.06e-17 5.04e-17 53.07  597.98
F05580   8.538  14.048 1.62e-16 1.45e-16 9.03e-17 62.13  597.92
F05574   8.542  13.271 2.21e-16 1.24e-16 1.21e-16 81.07  598.00
F05583   8.559  13.666 1.31e-16 1.05e-16 7.65e-17 57.64  597.99
F05579   8.698  14.013 1.58e-16 1.44e-16 1.00e-16 52.36  598.00
F05567   8.719  13.345 8.67e-17 6.71e-17 3.52e-17 60.37  597.76
F05560   8.863  14.100 1.31e-16 6.62e-17 4.40e-17 53.98  597.87
F04873  11.195  14.301 1.55e-17 1.10e-17 8.78e-18 16.87 1975.80
F04878  11.249  14.268 1.98e-17 1.50e-17 1.06e-17 12.90 1975.70
F04874  11.266  14.207 2.31e-17 1.40e-17 1.05e-17 12.36 1975.76
F04869  11.285  14.238 2.64e-17 1.68e-17 1.74e-17 16.77 1975.68
F04875  11.291  14.302 2.78e-17 1.96e-17 1.00e-17 12.40 1975.87
F04857  11.295  14.249 1.32e-17 1.14e-17 6.11e-18 17.81 1975.96
F04863  11.296  14.242 1.32e-17 1.04e-17 8.08e-18 15.31 1975.77
F04864  11.296  14.264 3.30e-17 2.33e-17 1.48e-17 18.18 1976.00
F04865  11.305  14.234 2.43e-17 1.53e-17 8.72e-18 18.16 1975.82
F04876  11.319  14.223 2.06e-17 1.25e-17 7.55e-18 14.11 1975.98
F04861  11.320  14.243 2.12e-17 1.08e-17 8.06e-18 10.52 1975.93
F04858  11.328  14.244 1.43e-17 1.17e-17 6.69e-18 13.55 1976.05
