name x y flux0 flux1 flux2 width rv
F05399   0.968 -14.861 1.66e-16 1.41e-16 8.02e-17 44.10  676.24
F00962   7.332  -5.256 4.25e-17 3.03e-17 2.06e-17 31.58 1198.64
F00967   7.493  -5.404 2.57e-17 1.69e-17 1.36e-17 29.78 1198.93
F00980   7.581  -4.989 5.26e-17 3.82e-17 1.72e-17 22.25 1198.80
F00966   7.693  -4.962 6.94e-17 4.99e-17 3.65e-17 26.41 1198.77
F00964   7.763  -5.167 5.62e-17 4.49e-17 3.03e-17 23.30 1198.99
F00968   7.799  -5.174 1.21e-17 1.10e-17 6.78e-18 38.80 1198.93
F00959   7.817  -5.134 5.27e-17 3.44e-17 2.18e-17 35.07 1198.76
F00956   7.821  -5.141 1.14e-16 7.04e-17 4.77e-17 34.24 1198.75
F00970   7.828  -5.229 5.28e-17 2.91e-17 1.94e-17 26.38 1198.94
F00978   7.844  -5.135 2.83e-17 1.89e-17 1.71e-17 24.39 1198.83
F00957   7.844  -5.136 7.13e-17 4.85e-17 2.04e-17 32.97 1198.87
F00961   7.846  -5.124 4.25e-17 3.08e-17 2.32e-17 26.26 1199.04
F00972   7.851  -5.142 7.16e-17 4.09e-17 3.52e-17 29.81 1198.75
F00960   7.854  -4.989 6.24e-17 3.83e-17 2.72e-17 39.24 1198.87
F00963   7.859  -5.192 3.84e-17 2.21e-17 1.38e-17 30.69 1198.98
F00958   7.875  -5.085 3.19e-17 2.73e-17 1.81e-17 30.18 1198.93
F00979   7.887  -5.152 4.73e-17 2.09e-17 1.90e-17 28.89 1198.98
F00975   7.894  -5.113 4.43e-17 3.78e-17 2.60e-17 33.46 1198.79
F00965   7.957  -5.166 3.00e-17 1.73e-17 1.51e-17 26.29 1198.66
F00977   7.960  -5.038 7.05e-17 3.87e-17 2.65e-17 21.93 1198.85
F00976   7.965  -5.239 5.62e-17 4.78e-17 3.38e-17 27.37 1198.92
F00971   7.976  -5.003 7.14e-17 4.01e-17 2.98e-17 24.10 1198.82
F00973   8.106  -5.428 7.80e-17 4.18e-17 4.12e-17 25.02 1198.90
F00981   8.450  -5.761 3.96e-17 3.12e-17 2.30e-17 36.29 1198.73
