name x y flux0 flux1 flux2 width rv
F05165  16.770  40.019 5.70e-17 3.97e-17 2.85e-17 30.26 1327.63
F05166  16.949  39.894 3.71e-17 3.28e-17 1.96e-17 21.78 1327.89
F05170  16.962  40.013 3.54e-17 2.43e-17 1.71e-17 21.50 1327.60
F05187  17.035  39.930 6.34e-17 4.10e-17 2.59e-17 27.11 1327.82
F05186  17.051  39.909 4.39e-17 3.85e-17 2.18e-17 30.06 1327.87
F05185  17.051  39.834 3.08e-17 2.61e-17 1.69e-17 30.46 1327.86
F05177  17.056  39.984 3.06e-17 1.93e-17 1.27e-17 31.77 1327.65
F05174  17.070  39.905 3.90e-17 2.78e-17 1.84e-17 28.43 1327.87
F05175  17.074  39.928 2.21e-17 1.83e-17 1.33e-17 20.32 1327.80
F05163  17.079  39.926 3.96e-17 2.70e-17 1.91e-17 25.93 1327.82
F05168  17.079  39.925 2.03e-17 1.45e-17 1.03e-17 19.36 1327.70
F05171  17.087  39.930 4.02e-17 2.67e-17 1.80e-17 20.89 1327.82
F05169  17.094  39.903 4.50e-17 3.17e-17 2.38e-17 31.30 1327.67
F05178  17.111  40.093 5.05e-17 3.99e-17 2.73e-17 25.16 1327.85
F05172  17.117  39.863 5.23e-17 3.20e-17 2.41e-17 25.94 1327.92
F05167  17.143  39.683 3.04e-17 2.19e-17 1.60e-17 22.76 1327.79
F05183  17.170  39.966 1.70e-17 1.31e-17 8.54e-18 28.22 1327.66
F05182  17.172  40.034 7.46e-17 5.46e-17 3.58e-17 24.68 1327.78
F05176  17.178  39.922 3.25e-17 2.27e-17 1.29e-17 26.64 1327.75
F05184  17.256  39.778 2.76e-17 2.01e-17 1.32e-17 27.46 1327.90
F05180  17.315  39.932 2.67e-17 1.56e-17 1.18e-17 23.22 1327.70
F05173  17.326  39.890 5.31e-17 3.76e-17 2.98e-17 29.91 1327.82
F05181  17.395  39.851 4.44e-17 3.27e-17 2.05e-17 22.75 1327.91
F01180  21.552  33.946 8.36e-17 5.77e-17 4.16e-17 44.81  920.19
F01185  21.566  33.864 5.72e-17 3.78e-17 2.77e-17 41.16  920.35
F01169  21.577  33.937 1.13e-16 7.24e-17 4.86e-17 37.78  920.48
F01168  21.608  33.954 1.06e-16 7.02e-17 5.30e-17 36.89  920.16
F01181  21.635  34.069 4.84e-17 3.28e-17 2.24e-17 38.95  920.23
F01176  21.701  33.857 4.86e-17 3.36e-17 2.33e-17 33.78  920.29
F01171  21.728  33.893 7.15e-17 4.80e-17 3.29e-17 54.92  920.38
F01183  21.730  33.834 1.10e-16 7.62e-17 5.82e-17 44.01  920.25
F01167  21.730  33.968 1.07e-16 7.03e-17 5.00e-17 44.69  920.29
F01184  21.732  33.948 2.29e-17 1.42e-17 8.65e-18 37.66  920.06
F01178  21.732  33.980 7.32e-17 5.82e-17 3.62e-17 41.80  920.14
F01177  21.735  33.923 8.92e-17 5.81e-17 3.63e-17 30.38  920.20
F01175  21.774  33.924 8.71e-17 5.80e-17 3.86e-17 34.62  920.28
F01170  21.774  33.923 5.36e-17 3.68e-17 2.57e-17 37.89  920.28
F01174  21.776  33.825 9.20e-17 6.42e-17 4.63e-17 33.25  920.31
F01187  21.780  33.847 1.19e-16 7.80e-17 5.23e-17 38.33  920.33
F01173  21.795  33.957 1.03e-16 6.97e-17 5.11e-17 41.34  920.07
F01182  21.800  33.946 5.75e-17 4.12e-17 2.61e-17 39.54  920.13
F01172  21.826  33.917 1.15e-16 9.35e-17 5.78e-17 37.91  920.21
F01166  21.836  33.868 7.78e-17 4.93e-17 3.21e-17 32.94  920.20
F01188  21.851  33.876 4.32e-17 2.71e-17 1.85e-17 35.16  919.91
F01179  21.906  33.174 7.60e-17 5.63e-17 3.80e-17 43.71  920.26
F01186  22.155  33.820 7.49e-17 5.65e-17 3.61e-17 33.51  920.13
F03000  26.182  38.452 2.09e-17 1.43e-17 9.99e-18 18.48 2008.99
F02992  26.383  38.437 1.92e-17 1.15e-17 7.24e-18 17.00 2008.92
F03009  26.385  38.598 1.59e-17 1.22e-17 7.07e-18 14.29 2008.91
