name x y flux0 flux1 flux2 width rv
F01322  32.814 -12.981 1.35e-17 1.28e-17 8.68e-18 13.98 2279.82
F01304  32.815 -13.014 1.43e-17 1.17e-17 6.18e-18 13.61 2279.65
F01303  32.835 -13.010 1.55e-17 1.13e-17 7.85e-18 12.96 2279.64
F01299  32.851 -13.029 1.80e-17 1.12e-17 7.63e-18 14.88 2279.55
F01318  32.858 -13.018 2.49e-17 1.78e-17 8.63e-18 21.08 2279.47
F01311  32.863 -13.001 1.63e-17 1.14e-17 6.80e-18 16.30 2279.77
F01314  32.865 -13.038 1.70e-17 1.34e-17 9.26e-18 13.70 2279.73
F01317  32.865 -13.004 1.79e-17 1.23e-17 8.75e-18 13.89 2279.52
F01326  32.867 -13.012 2.54e-17 2.11e-17 1.67e-17 14.53 2279.60
F01321  32.870 -13.022 2.12e-17 1.76e-17 8.69e-18 17.60 2279.41
F01312  32.873 -13.003 1.86e-17 1.26e-17 9.03e-18 12.27 2279.61
F01298  32.877 -13.016 2.11e-17 1.56e-17 1.17e-17 13.65 2279.66
F01316  32.879 -13.003 2.79e-17 2.07e-17 1.12e-17 10.93 2279.73
F01300  32.899 -13.038 2.15e-17 1.14e-17 1.11e-17 12.71 2279.66
F01324  32.902 -13.099 1.14e-17 1.11e-17 5.21e-18 17.09 2279.63
F01320  32.935 -13.038 3.30e-17 1.68e-17 1.22e-17 11.98 2279.71
F00640  34.927  -5.176 2.58e-16 1.42e-16 1.42e-16 75.38  464.20
F00622  34.976  -0.937 2.82e-16 1.91e-16 1.21e-16 69.51  464.35
F00626  35.161  -4.869 1.27e-16 8.87e-17 5.87e-17 91.67  464.00
F00636  35.472  -1.649 2.73e-16 2.02e-16 1.87e-16 51.21  464.53
F00642  35.529  -1.991 3.93e-16 2.86e-16 1.85e-16 94.49  464.35
F00635  35.565  -1.419 2.69e-16 2.54e-16 2.10e-16 91.46  464.44
F00638  35.600  -2.488 5.06e-16 3.75e-16 1.92e-16 91.83  464.51
F00641  35.616  -2.159 2.69e-16 2.95e-16 1.74e-16 60.35  464.50
