name x y flux0 flux1 flux2 width rv
F05726 -41.259  35.448 3.91e-17 2.75e-17 1.91e-17 21.67 1882.76
F05720 -41.139  35.190 1.49e-17 1.15e-17 7.11e-18 20.62 1882.42
F05721 -41.119  34.980 2.68e-17 1.97e-17 1.35e-17 19.01 1882.66
F05713 -41.027  35.237 1.70e-17 1.21e-17 8.34e-18 23.63 1882.77
F05702 -41.026  35.321 2.46e-17 1.67e-17 1.13e-17 21.09 1882.66
F05710 -41.019  35.217 1.43e-17 1.02e-17 7.24e-18 23.17 1882.74
F05724 -41.018  35.186 1.55e-17 1.14e-17 7.70e-18 24.99 1882.72
F05718 -41.017  35.215 2.26e-17 1.59e-17 1.02e-17 15.68 1882.62
F05712 -41.013  35.195 2.75e-17 2.02e-17 1.37e-17 16.44 1882.82
F05711 -41.013  35.191 1.54e-17 1.17e-17 7.39e-18 20.88 1882.53
F05717 -41.011  35.215 1.66e-17 1.17e-17 7.79e-18 17.34 1882.75
F05715 -41.010  35.219 3.79e-17 2.71e-17 1.79e-17 15.93 1882.63
F05716 -41.009  35.214 2.27e-17 1.70e-17 1.10e-17 18.72 1882.73
F05727 -41.006  35.212 2.12e-17 1.55e-17 9.99e-18 23.70 1882.76
F05714 -41.004  35.212 2.08e-17 1.54e-17 9.96e-18 15.06 1882.62
F05705 -40.985  35.222 1.98e-17 1.45e-17 9.98e-18 15.52 1882.80
F05703 -40.967  35.170 2.50e-17 1.71e-17 1.14e-17 20.02 1882.68
F05723 -40.958  35.176 2.03e-17 1.43e-17 9.26e-18 15.30 1882.78
F05725 -40.946  35.111 1.47e-17 1.00e-17 7.05e-18 18.41 1882.78
F05722 -40.946  35.171 2.39e-17 1.78e-17 1.19e-17 13.10 1882.72
F05719 -40.933  35.256 1.95e-17 1.29e-17 9.15e-18 23.04 1882.83
F05701 -40.917  35.120 2.44e-17 1.74e-17 1.18e-17 13.30 1882.65
F05706 -40.892  35.014 2.09e-17 1.49e-17 1.04e-17 18.00 1882.68
F02255 -30.335  38.762 1.92e-17 1.39e-17 9.42e-18 41.27  924.50
F02230 -30.177  39.942 1.16e-16 8.53e-17 5.79e-17 28.84  924.37
