name x y flux0 flux1 flux2 width rv
F06216 -15.745 -18.673 2.09e-17 1.71e-17 1.09e-17 17.38 1796.13
F06225 -15.617 -18.573 1.68e-17 1.38e-17 5.81e-18 24.72 1796.17
F06197 -15.606 -16.575 3.34e-17 4.75e-17 2.82e-17 20.71 1066.97
F06211 -15.605 -15.936 6.32e-17 3.94e-17 3.41e-17 32.71 1067.09
F06192 -15.596 -15.958 7.13e-17 4.93e-17 3.10e-17 30.92 1066.88
F06233 -15.592 -18.417 2.05e-17 1.69e-17 1.01e-17 17.39 1796.13
F06234 -15.516 -18.553 4.37e-17 2.48e-17 2.11e-17 15.23 1796.01
F06245 -15.506 -18.613 3.08e-17 1.49e-17 1.22e-17 15.95 1796.03
F06240 -15.502 -18.600 1.84e-17 1.01e-17 7.36e-18 25.22 1796.14
F06236 -15.496 -18.633 3.34e-17 2.40e-17 1.67e-17 13.18 1796.12
F06218 -15.491 -18.598 1.36e-17 1.04e-17 9.50e-18 19.76 1796.08
F06223 -15.487 -18.599 3.12e-17 2.42e-17 1.44e-17 19.89 1796.15
F06242 -15.487 -18.601 2.35e-17 1.42e-17 1.02e-17 18.43 1796.22
F06241 -15.482 -18.594 2.39e-17 1.94e-17 1.15e-17 15.17 1796.10
F06194 -15.480 -15.537 5.09e-17 4.19e-17 2.49e-17 29.75 1067.11
F06229 -15.475 -18.608 2.18e-17 1.70e-17 9.79e-18 18.60 1796.08
F06222 -15.474 -18.587 1.31e-17 1.05e-17 5.10e-18 16.58 1796.03
F06231 -15.471 -18.595 3.20e-17 1.74e-17 1.10e-17 12.25 1796.04
F06230 -15.469 -18.493 2.65e-17 2.04e-17 1.18e-17 24.73 1796.00
F06226 -15.469 -18.611 3.91e-17 2.56e-17 1.82e-17 23.76 1796.04
F06193 -15.458 -15.703 6.16e-17 6.06e-17 4.21e-17 32.57 1067.08
F06243 -15.456 -18.564 3.47e-17 2.57e-17 2.13e-17 19.38 1795.91
F06217 -15.450 -18.533 3.86e-17 2.69e-17 2.20e-17 21.08 1795.98
F06232 -15.445 -18.685 2.46e-17 1.72e-17 1.47e-17 18.69 1796.04
F06215 -15.440 -15.657 4.09e-17 3.24e-17 2.43e-17 29.58 1066.98
F06206 -15.436 -16.245 1.96e-17 1.23e-17 9.05e-18 31.36 1067.08
F06239 -15.423 -18.513 4.86e-17 2.79e-17 1.57e-17 21.87 1795.98
F06224 -15.418 -18.588 4.25e-17 2.67e-17 2.14e-17 23.60 1795.95
F06208 -15.407 -15.847 1.39e-17 1.12e-17 7.56e-18 25.29 1067.08
F06205 -15.400 -15.924 1.84e-17 1.54e-17 7.19e-18 26.85 1067.15
F06201 -15.395 -15.807 4.23e-17 3.64e-17 2.61e-17 36.51 1067.01
F06237 -15.370 -18.531 4.72e-17 2.43e-17 1.78e-17 18.73 1796.19
F06207 -15.358 -15.879 4.84e-17 3.20e-17 2.21e-17 27.64 1067.15
F06203 -15.352 -15.885 6.58e-17 7.32e-17 4.57e-17 27.89 1066.83
F06212 -15.345 -15.851 8.38e-17 5.74e-17 3.50e-17 30.32 1067.16
F06195 -15.340 -16.003 3.06e-17 3.04e-17 1.96e-17 31.32 1067.11
F06190 -15.339 -15.916 4.80e-17 4.17e-17 2.57e-17 23.61 1066.80
F06191 -15.338 -15.899 2.65e-17 2.02e-17 1.11e-17 34.16 1066.98
F06204 -15.326 -15.857 1.09e-16 6.38e-17 3.93e-17 40.75 1066.99
F06214 -15.323 -15.936 8.10e-17 7.09e-17 4.20e-17 22.96 1067.02
F06200 -15.307 -15.920 3.99e-17 2.66e-17 1.82e-17 31.03 1067.21
F06196 -15.296 -15.862 8.42e-17 5.64e-17 3.77e-17 43.47 1067.16
F06198 -15.296 -16.305 7.47e-17 6.32e-17 3.95e-17 26.88 1067.02
F06209 -15.291 -15.891 8.91e-17 5.93e-17 3.83e-17 25.64 1067.15
F06199 -15.291 -16.085 2.06e-17 1.37e-17 8.42e-18 20.86 1067.10
F06210 -15.284 -15.871 5.10e-17 3.17e-17 2.06e-17 33.91 1066.90
F06213 -15.165 -15.902 2.95e-17 2.29e-17 1.12e-17 30.94 1067.06
F06202 -15.126 -16.013 2.64e-17 2.49e-17 1.78e-17 29.36 1066.94
F06238 -15.123 -18.518 2.26e-17 1.19e-17 7.34e-18 17.14 1796.21
