name x y flux1 flux2 flux3 par rv
P04406 -14.239  25.234 9.42e-17 1.07e-16 8.77e-17   0.050   -0.11
P04227 -14.333  28.138 1.05e-14 9.57e-15 6.23e-15   0.014   -0.10
P03654 -10.900  20.152 2.30e-15 1.93e-15 1.48e-15   0.010   -0.15
P01802 -10.878  15.282 2.74e-14 2.29e-14 1.45e-14   0.018   -0.15
P03825  -9.084  16.425 9.47e-14 8.20e-14 5.80e-14   0.053   -0.01
P02568  -8.620  27.650 2.91e-15 1.41e-15 8.12e-16   0.036   -0.07
P04283  -6.995  29.503 1.81e-13 1.06e-13 4.78e-14   0.011   -0.10
P02188  -6.602  24.865 1.19e-12 5.94e-13 2.38e-13   0.012   -0.09
P04973  -6.133  27.720 6.30e-16 6.64e-16 5.70e-16   0.011   -0.10
P02973  -5.182  20.265 3.82e-15 4.13e-15 3.38e-15   0.024   -0.17
P00825  -4.344  15.129 6.87e-14 6.51e-14 4.62e-14   0.042   -0.06
P00450  -2.589  26.948 3.48e-12 1.77e-12 8.35e-13   0.015   -0.08
P03275  -1.865  27.339 2.09e-12 1.14e-12 4.87e-13   0.016   -0.07
P02543  -0.984  18.608 1.48e-10 1.07e-10 5.64e-11   0.019   -0.10
P00040  -0.853  21.296 2.60e-15 3.22e-15 2.67e-15   0.024   -0.01
