name x y flux0 flux1 flux2 width rv
F05242  -1.887  -9.968 2.32e-17 1.60e-17 9.24e-18 20.42 1644.27
F05243  -1.794 -10.000 3.12e-17 1.89e-17 1.68e-17 20.70 1644.31
F05235  -1.767 -10.018 4.27e-17 2.02e-17 1.99e-17 18.66 1644.41
F05223  -1.767  -9.932 3.02e-17 2.71e-17 1.72e-17 21.14 1644.44
F05228  -1.747  -9.965 2.49e-17 1.73e-17 1.67e-17 21.48 1644.17
F05225  -1.746  -9.982 3.96e-17 1.76e-17 1.49e-17 23.54 1644.42
F05232  -1.741  -9.980 5.78e-17 2.91e-17 2.39e-17 19.65 1644.60
F05239  -1.741  -9.975 3.24e-17 2.03e-17 1.43e-17 19.70 1644.22
F05237  -1.740  -9.968 3.93e-17 2.23e-17 1.27e-17 17.02 1644.31
F05229  -1.738  -9.973 1.47e-17 1.52e-17 8.58e-18 17.71 1644.44
F05245  -1.736 -10.020 3.29e-17 2.58e-17 1.45e-17 19.35 1644.47
F05227  -1.735  -9.960 2.36e-17 1.48e-17 1.09e-17 15.21 1644.25
F05238  -1.734  -9.983 2.32e-17 1.36e-17 1.04e-17 24.17 1644.38
F05234  -1.732  -9.993 1.41e-17 1.06e-17 6.61e-18 24.69 1644.49
F05247  -1.732  -9.994 1.93e-17 1.54e-17 7.92e-18 16.14 1644.32
F05233  -1.688 -10.037 3.24e-17 1.83e-17 1.58e-17 26.56 1644.28
F05226  -1.681  -9.944 3.33e-17 2.36e-17 1.49e-17 24.62 1644.33
F05246  -1.647  -9.997 2.20e-17 1.90e-17 1.13e-17 25.99 1644.20
F05224  -1.646 -10.100 3.44e-17 2.03e-17 1.49e-17 21.14 1644.14
F05221  -1.577 -10.045 2.56e-17 1.96e-17 1.57e-17 24.76 1644.26
