name x y flux0 flux1 flux2 width rv
F04446   2.152 -22.843 1.77e-17 1.77e-17 1.22e-17 16.11 2222.33
F04423   2.243 -22.865 1.50e-17 1.25e-17 8.58e-18 19.04 2222.23
F04417   2.249 -22.820 2.52e-17 1.54e-17 6.93e-18 13.78 2222.20
F04425   2.249 -22.870 2.13e-17 1.38e-17 6.32e-18 19.28 2222.28
F04202   2.270 -28.579 9.92e-17 8.59e-17 6.42e-17 37.12  897.34
F04419   2.274 -22.844 2.73e-17 2.13e-17 9.05e-18 14.76 2221.99
F04433   2.276 -22.857 1.47e-17 1.24e-17 1.04e-17 17.10 2222.27
F04204   2.281 -28.555 1.52e-16 6.77e-17 5.47e-17 36.66  897.46
F04432   2.281 -22.853 1.62e-17 1.08e-17 6.63e-18 18.42 2221.98
F04439   2.287 -22.846 1.16e-17 1.11e-17 8.14e-18 15.64 2222.22
F04442   2.292 -22.854 1.93e-17 1.46e-17 8.89e-18 18.20 2222.19
F04441   2.294 -22.839 1.74e-17 1.01e-17 8.02e-18 13.66 2222.28
F04422   2.295 -22.850 1.25e-17 1.13e-17 8.00e-18 16.96 2222.29
F04426   2.297 -22.841 2.08e-17 1.08e-17 1.29e-17 18.46 2222.39
F04440   2.298 -22.828 1.83e-17 1.92e-17 1.09e-17 14.94 2222.10
F04431   2.308 -22.832 1.45e-17 1.20e-17 7.20e-18 13.50 2222.26
F04435   2.312 -22.838 1.50e-17 1.11e-17 7.29e-18 16.31 2222.10
F04443   2.314 -22.849 2.79e-17 2.14e-17 1.23e-17 15.54 2222.22
F04438   2.334 -22.867 1.66e-17 1.34e-17 6.53e-18 20.57 2222.30
F04201   2.349 -28.775 1.03e-16 5.16e-17 3.54e-17 41.91  897.43
F04209   2.377 -28.632 1.54e-16 9.52e-17 6.68e-17 47.44  897.60
F04211   2.379 -28.684 1.24e-16 9.59e-17 4.96e-17 37.67  897.40
F04214   2.386 -28.562 8.25e-17 4.29e-17 3.56e-17 34.44  897.35
F04191   2.389 -28.672 8.35e-17 7.75e-17 4.98e-17 37.40  897.48
F04200   2.392 -28.624 2.97e-17 2.45e-17 2.19e-17 34.74  897.49
F04444   2.393 -22.854 2.21e-17 1.47e-17 8.63e-18 14.59 2222.20
F04189   2.407 -28.596 4.17e-17 3.36e-17 2.24e-17 44.75  897.45
F04210   2.408 -28.654 1.92e-16 1.14e-16 8.27e-17 40.24  897.29
F04213   2.411 -28.696 6.75e-17 4.85e-17 3.71e-17 34.96  897.46
F04206   2.412 -28.576 5.22e-17 3.51e-17 2.98e-17 25.92  897.51
F04195   2.414 -28.617 1.41e-16 8.20e-17 6.23e-17 35.31  897.49
F04194   2.414 -28.676 1.96e-17 1.06e-17 1.03e-17 42.69  897.71
F04218   2.415 -28.630 5.97e-17 5.64e-17 3.75e-17 42.12  897.43
F04216   2.415 -28.641 1.16e-16 6.34e-17 4.64e-17 37.81  897.48
F04199   2.416 -28.558 1.15e-16 5.97e-17 5.16e-17 36.90  897.41
F04196   2.417 -28.613 5.90e-17 3.72e-17 3.17e-17 37.44  897.43
F04208   2.420 -28.620 7.88e-17 4.87e-17 2.99e-17 35.07  897.49
F04190   2.432 -28.618 5.77e-17 3.51e-17 3.05e-17 39.24  897.44
F04215   2.433 -28.626 1.07e-16 9.23e-17 6.33e-17 36.19  897.49
F04203   2.437 -28.616 7.24e-17 4.97e-17 3.72e-17 33.42  897.51
F04193   2.439 -28.601 9.28e-17 7.17e-17 3.56e-17 45.41  897.47
F04212   2.452 -28.631 1.01e-16 7.95e-17 4.38e-17 43.59  897.40
F04197   2.459 -28.640 1.76e-16 1.40e-16 1.20e-16 40.04  897.37
F04198   2.468 -28.665 1.19e-16 1.10e-16 7.16e-17 33.66  897.38
F04192   2.468 -28.606 2.55e-17 1.46e-17 1.32e-17 36.27  897.52
F04217   2.476 -28.647 3.98e-17 2.95e-17 1.42e-17 30.50  897.53
F04207   2.539 -28.768 4.14e-17 2.55e-17 1.80e-17 36.45  897.55
F04205   2.554 -28.715 5.09e-17 4.97e-17 3.89e-17 31.09  897.51
