name x y flux0 flux1 flux2 width rv
F04146  19.210 -15.623 3.08e-17 2.21e-17 1.76e-17 20.80 1132.78
F04156  19.243 -15.070 8.78e-17 5.66e-17 4.59e-17 31.81 1132.69
F04148  19.395 -15.061 1.00e-16 7.56e-17 4.10e-17 33.15 1132.99
F04149  19.472 -15.027 8.70e-17 5.29e-17 4.38e-17 25.77 1132.90
F04150  19.473 -15.221 5.50e-17 2.36e-17 1.58e-17 42.42 1132.89
F04140  19.510 -15.109 4.80e-17 3.22e-17 1.90e-17 31.73 1133.15
F04145  19.513 -15.169 8.37e-17 4.85e-17 4.66e-17 29.75 1132.98
F04362  21.596 -23.297 2.74e-16 1.55e-16 1.48e-16 106.19  424.72
F04376  21.658 -23.620 5.57e-16 3.81e-16 2.56e-16 79.80  424.81
F04377  21.729 -23.694 5.02e-16 3.88e-16 2.01e-16 98.08  424.72
F04379  21.771 -23.565 4.45e-16 2.48e-16 2.24e-16 72.49  424.90
F04361  21.797 -23.565 4.70e-16 4.85e-16 3.11e-16 73.78  424.80
F04365  21.800 -23.618 6.06e-16 2.80e-16 2.51e-16 72.64  424.68
F04363  21.803 -23.747 3.32e-16 2.45e-16 1.63e-16 94.00  424.77
F04370  21.803 -23.601 3.58e-16 2.09e-16 1.64e-16 101.14  424.77
F04360  21.809 -23.620 2.40e-16 1.49e-16 8.01e-17 62.07  424.79
F04371  21.814 -23.583 2.86e-16 1.99e-16 1.79e-16 76.96  424.77
F04372  21.817 -23.367 5.08e-16 3.02e-16 2.30e-16 97.34  424.70
F04364  21.835 -23.711 5.20e-16 3.47e-16 2.45e-16 66.47  424.62
F04369  21.847 -23.593 2.52e-16 3.64e-16 1.85e-16 91.47  424.73
F04368  21.850 -23.629 8.39e-16 5.22e-16 3.55e-16 67.60  424.83
F04366  21.887 -23.250 3.30e-16 3.16e-16 1.41e-16 78.15  424.86
F04380  21.899 -23.653 4.69e-16 2.91e-16 1.68e-16 80.03  424.55
F04375  21.912 -23.932 7.85e-16 3.63e-16 2.97e-16 98.88  424.57
F04374  21.943 -23.869 3.06e-16 2.50e-16 1.50e-16 88.38  424.68
F04381  21.977 -23.850 3.54e-16 3.49e-16 2.79e-16 65.74  424.76
F04367  22.045 -23.792 5.28e-16 2.97e-16 1.55e-16 81.25  424.68
F04378  22.065 -23.715 3.00e-16 1.79e-16 1.67e-16 66.51  424.47
F04373  22.146 -23.516 1.07e-15 6.31e-16 2.57e-16 92.89  424.55
