name x y flux0 flux1 flux2 width rv
F00856  30.144  22.504 8.34e-17 5.77e-17 3.39e-17 54.28  858.55
F00844  30.172  22.074 9.87e-17 7.67e-17 6.79e-17 32.28  858.51
F00847  30.250  22.091 6.22e-17 5.89e-17 2.81e-17 27.96  858.59
F00850  30.290  22.207 1.13e-16 7.84e-17 5.61e-17 40.84  858.45
F00862  30.298  22.460 5.75e-17 4.09e-17 2.33e-17 31.23  858.40
F00839  30.310  22.268 7.59e-17 6.06e-17 4.04e-17 35.86  858.47
F00861  30.311  22.258 1.32e-16 1.01e-16 6.45e-17 46.72  858.52
F00849  30.322  22.356 1.39e-16 6.96e-17 5.87e-17 43.28  858.61
F00863  30.332  21.884 6.37e-17 4.17e-17 2.98e-17 45.06  858.58
F00851  30.340  22.253 1.12e-16 8.96e-17 6.59e-17 40.99  858.40
F00860  30.343  21.843 4.28e-17 3.44e-17 2.07e-17 38.34  858.46
F00907  30.347  28.114 8.90e-17 5.76e-17 4.82e-17 36.46 1056.29
F00859  30.352  22.015 1.39e-16 9.77e-17 5.32e-17 36.09  858.58
F00920  30.371  28.135 7.49e-17 6.04e-17 3.67e-17 40.21 1056.26
F00843  30.392  22.211 9.16e-17 8.54e-17 5.06e-17 44.42  858.56
F00840  30.397  22.192 1.29e-16 9.40e-17 6.10e-17 40.01  858.63
F00846  30.400  22.145 4.08e-17 3.68e-17 2.50e-17 45.01  858.64
F00852  30.401  22.201 1.23e-16 6.40e-17 4.34e-17 38.37  858.44
F00848  30.412  22.208 7.00e-17 4.18e-17 3.22e-17 41.53  858.55
F00857  30.432  22.258 1.54e-16 1.09e-16 7.49e-17 35.62  858.27
F00864  30.460  22.300 6.95e-17 5.10e-17 3.48e-17 38.04  858.63
F00842  30.499  22.844 7.30e-17 5.70e-17 3.68e-17 47.10  858.40
F00853  30.508  22.093 1.10e-16 8.14e-17 4.12e-17 40.37  858.57
F00858  30.514  22.149 2.21e-17 1.49e-17 1.12e-17 44.94  858.55
F00845  30.682  22.027 8.38e-17 6.01e-17 4.97e-17 29.02  858.30
F00909  30.705  28.225 8.39e-17 5.71e-17 4.01e-17 24.62 1056.28
F00855  30.780  21.828 1.86e-16 1.18e-16 8.65e-17 31.45  858.44
F00898  30.791  28.320 6.05e-17 3.09e-17 2.59e-17 34.24 1056.24
F00900  30.811  28.386 2.90e-17 1.96e-17 1.30e-17 32.59 1056.31
F00906  30.813  28.405 8.26e-17 7.00e-17 4.47e-17 35.78 1056.29
F00922  30.827  28.325 6.40e-17 5.45e-17 3.33e-17 31.63 1056.05
F00923  30.833  28.375 1.12e-16 5.39e-17 4.65e-17 26.55 1056.15
F00901  30.844  28.328 9.51e-17 6.01e-17 4.09e-17 34.11 1056.01
F00917  30.845  28.353 4.44e-17 3.26e-17 1.73e-17 28.01 1056.32
F00918  30.846  28.408 1.79e-17 1.04e-17 7.61e-18 32.76 1056.25
F00910  30.849  28.064 1.61e-17 1.11e-17 7.30e-18 25.96 1056.22
F00908  30.851  28.273 5.85e-17 3.54e-17 2.42e-17 35.03 1056.18
F00921  30.859  28.274 5.00e-17 4.25e-17 2.24e-17 37.55 1056.13
F00903  30.860  28.318 5.55e-17 4.28e-17 2.28e-17 30.57 1056.32
F00916  30.863  28.330 9.31e-17 5.52e-17 3.35e-17 33.10 1056.17
F00897  30.869  28.269 1.02e-16 6.29e-17 4.21e-17 31.26 1056.04
F00912  30.879  28.355 4.54e-17 3.47e-17 2.53e-17 34.38 1056.18
F00902  30.882  28.367 8.84e-17 5.92e-17 4.05e-17 21.66 1056.12
F00913  30.883  28.628 1.51e-17 1.05e-17 7.72e-18 32.37 1055.96
F00919  30.891  28.321 8.26e-17 5.45e-17 3.23e-17 40.03 1056.13
F00904  30.892  28.417 4.50e-17 2.66e-17 2.26e-17 36.62 1055.87
F00899  30.921  28.150 5.56e-17 3.79e-17 2.47e-17 24.37 1056.16
F00915  30.922  28.210 8.33e-17 4.93e-17 4.00e-17 26.24 1056.06
F00914  30.942  28.492 5.58e-17 3.53e-17 2.43e-17 32.30 1056.10
F00905  30.973  28.432 3.01e-17 2.92e-17 1.40e-17 38.57 1056.35
F00741  31.884  15.123 4.95e-17 3.69e-17 2.92e-17 33.93  784.23
F00744  31.987  15.011 1.43e-16 8.91e-17 6.24e-17 32.54  784.22
F00751  32.001  15.886 3.07e-17 2.21e-17 1.45e-17 44.43  784.01
F00747  32.019  15.132 1.75e-16 1.36e-16 8.06e-17 46.52  784.18
F00753  32.216  15.094 2.04e-16 1.29e-16 9.58e-17 30.79  784.06
F00745  32.247  15.056 9.51e-17 5.28e-17 4.17e-17 49.17  784.14
F00739  32.332  15.004 1.63e-16 1.30e-16 7.63e-17 56.47  784.16
F00750  32.340  15.059 2.64e-17 2.35e-17 1.42e-17 38.65  784.02
F00731  32.353  15.023 6.68e-17 6.33e-17 4.65e-17 56.34  784.01
F00758  32.616  15.175 1.05e-16 8.00e-17 4.93e-17 55.60  784.02
