name x y flux0 flux1 flux2 width rv
F02798 -41.941  29.805 7.31e-17 5.57e-17 3.99e-17 45.75  789.99
F02810 -40.929  29.251 2.34e-17 1.77e-17 1.23e-17 51.01  789.73
F02808 -40.554  29.915 1.34e-16 9.30e-17 6.21e-17 40.82  789.84
F03831 -34.308  26.590 1.74e-17 1.30e-17 9.75e-18 23.49 1806.59
F03839 -34.212  26.670 2.63e-17 2.31e-17 1.18e-17 19.26 1806.50
F03853 -34.189  26.674 3.30e-17 2.85e-17 1.52e-17 15.18 1806.52
F03822 -34.181  26.645 1.92e-17 1.36e-17 9.02e-18 24.44 1806.70
F03830 -34.168  26.545 2.43e-17 1.71e-17 1.19e-17 25.68 1806.62
F03825 -34.158  26.527 4.01e-17 2.73e-17 1.80e-17 19.30 1806.62
F03841 -34.114  26.516 2.98e-17 1.95e-17 1.85e-17 16.24 1806.46
F03840 -34.113  26.715 2.59e-17 1.88e-17 1.22e-17 19.63 1806.53
F03835 -34.111  26.602 5.23e-17 3.23e-17 2.07e-17 22.32 1806.56
F03836 -34.097  26.529 1.60e-17 1.20e-17 6.60e-18 22.23 1806.62
F03827 -34.097  26.540 3.19e-17 2.21e-17 1.44e-17 22.94 1806.44
F03838 -34.079  26.541 2.53e-17 1.82e-17 1.12e-17 20.51 1806.56
F03847 -34.077  26.668 1.94e-17 1.51e-17 1.01e-17 22.26 1806.54
F03852 -34.066  26.565 3.99e-17 2.67e-17 1.90e-17 19.58 1806.79
F03851 -34.064  26.490 3.29e-17 2.43e-17 1.75e-17 21.59 1806.60
F03837 -34.064  26.602 2.27e-17 1.87e-17 1.07e-17 20.69 1806.52
F03820 -34.061  26.575 1.58e-17 1.15e-17 6.87e-18 17.47 1806.76
F03832 -34.058  26.680 1.33e-17 1.01e-17 7.45e-18 21.18 1806.49
F03824 -34.057  26.559 2.47e-17 2.02e-17 1.25e-17 18.00 1806.60
F03850 -34.056  26.582 2.47e-17 1.78e-17 1.39e-17 21.46 1806.65
F03829 -34.051  26.565 2.80e-17 1.95e-17 1.21e-17 20.19 1806.57
F03849 -34.045  26.617 2.60e-17 1.94e-17 1.31e-17 18.43 1806.55
F03848 -34.043  26.669 3.08e-17 2.24e-17 1.26e-17 14.74 1806.51
F03846 -34.037  26.556 2.36e-17 1.77e-17 1.27e-17 16.41 1806.38
F03823 -34.035  26.596 1.67e-17 1.30e-17 9.19e-18 23.72 1806.53
F03821 -34.022  26.507 3.59e-17 2.63e-17 1.66e-17 16.97 1806.56
F03845 -34.016  26.562 2.14e-17 1.62e-17 1.06e-17 20.12 1806.58
F03843 -33.995  26.661 1.85e-17 1.43e-17 9.83e-18 15.41 1806.71
F03833 -33.991  26.535 2.65e-17 2.30e-17 1.45e-17 16.52 1806.63
F03842 -33.980  26.634 2.21e-17 1.63e-17 1.07e-17 18.11 1806.66
F03834 -33.890  26.290 3.21e-17 2.16e-17 1.49e-17 17.07 1806.52
