name x y flux0 flux1 flux2 width rv
F00057 -23.610 -14.186 2.30e-17 1.35e-17 8.94e-18 21.24 2108.65
F00063 -23.600 -14.153 1.61e-17 1.17e-17 1.01e-17 15.77 2108.70
F00061 -23.589 -14.222 1.89e-17 1.21e-17 1.06e-17 18.42 2108.57
F00062 -23.557 -14.241 1.35e-17 1.15e-17 6.18e-18 17.33 2108.52
F00071 -23.550 -14.166 2.62e-17 1.55e-17 1.27e-17 21.78 2108.68
F00054 -23.549 -14.057 2.10e-17 1.64e-17 7.76e-18 18.49 2108.69
F00074 -23.548 -14.167 1.78e-17 1.30e-17 1.14e-17 11.41 2108.65
F00060 -23.548 -14.174 2.10e-17 1.27e-17 9.47e-18 16.58 2108.64
F00072 -23.548 -14.154 2.81e-17 2.50e-17 1.67e-17 11.23 2108.57
F00047 -23.547 -14.164 1.51e-17 1.09e-17 7.70e-18 14.30 2108.59
F00046 -23.547 -14.139 2.02e-17 1.19e-17 6.59e-18 16.09 2108.65
F00067 -23.546 -14.172 1.71e-17 1.28e-17 1.03e-17 13.58 2108.68
F00065 -23.544 -14.173 2.29e-17 1.60e-17 8.87e-18 16.07 2108.63
F00066 -23.544 -14.126 1.99e-17 1.23e-17 1.02e-17 17.96 2108.73
F00059 -23.540 -14.180 2.62e-17 1.72e-17 1.24e-17 16.79 2108.75
F00045 -23.538 -14.022 1.92e-17 1.48e-17 8.74e-18 14.26 2108.63
F00073 -23.490 -14.223 2.05e-17 1.66e-17 7.73e-18 21.55 2108.45
F00052 -23.485 -14.110 2.77e-17 1.54e-17 1.20e-17 11.12 2108.58
F00070 -23.481 -14.165 1.71e-17 1.10e-17 6.99e-18 13.03 2108.73
F00064 -23.461 -14.353 1.63e-17 1.61e-17 7.35e-18 12.85 2108.60
F01657 -21.248  -1.908 1.59e-16 9.96e-17 7.25e-17 67.24  617.75
F01632 -21.190  -2.115 3.61e-17 3.91e-17 2.16e-17 48.72  617.57
F01656 -21.100  -1.989 1.91e-16 1.21e-16 6.97e-17 47.58  617.81
F01635 -21.038  -2.321 3.30e-16 2.53e-16 1.97e-16 48.18  617.85
F01646 -21.029  -2.246 2.96e-16 2.23e-16 1.29e-16 53.67  617.75
F01651 -20.976  -2.191 1.08e-16 8.62e-17 7.05e-17 68.33  617.80
F01643 -20.974  -2.164 4.49e-17 2.77e-17 2.31e-17 58.44  617.92
F01640 -20.970  -2.186 2.22e-16 1.48e-16 1.18e-16 70.13  617.62
F01653 -20.966  -2.150 3.41e-17 2.84e-17 2.95e-17 65.57  617.81
F01637 -20.957  -2.350 2.71e-16 2.38e-16 1.13e-16 48.86  617.95
F01634 -20.956  -2.267 1.43e-16 7.89e-17 5.87e-17 54.96  617.72
F01636 -20.946  -2.201 5.55e-17 3.71e-17 3.59e-17 51.63  617.68
F01645 -20.943  -2.203 2.88e-16 1.61e-16 1.16e-16 45.86  617.56
F01642 -20.943  -2.219 1.20e-16 8.71e-17 6.04e-17 45.03  617.69
F01633 -20.928  -2.639 2.41e-16 1.40e-16 9.88e-17 65.94  617.83
F01659 -20.925  -2.296 1.22e-16 1.13e-16 6.06e-17 77.15  617.82
F01630 -20.922  -2.239 2.19e-16 2.05e-16 1.24e-16 46.49  617.69
F01631 -20.921  -2.198 2.11e-16 1.41e-16 9.38e-17 57.79  617.72
F01650 -20.914  -2.150 2.09e-16 1.40e-16 1.05e-16 57.34  617.72
F01641 -20.896  -2.373 9.15e-17 4.24e-17 3.68e-17 53.89  617.71
F01647 -20.877  -2.170 5.45e-17 2.48e-17 1.88e-17 62.04  617.85
F01638 -20.865  -2.285 1.06e-16 7.48e-17 5.95e-17 50.40  617.89
F01655 -20.862  -2.237 2.76e-16 2.11e-16 1.31e-16 53.44  617.75
F01644 -20.857  -2.356 1.49e-16 1.61e-16 1.05e-16 50.28  617.64
F01648 -20.759  -1.996 2.03e-16 1.26e-16 9.59e-17 57.91  617.72
F01654 -20.690  -2.044 7.71e-17 6.42e-17 4.44e-17 54.97  617.74
F01652 -20.645  -1.808 2.03e-16 1.40e-16 9.18e-17 71.69  617.65
F01639 -20.631  -2.518 3.28e-16 2.67e-16 1.60e-16 51.60  617.75
F01658 -20.553  -2.163 2.39e-16 1.37e-16 8.20e-17 40.71  617.80
F01649 -20.115  -3.006 1.38e-16 1.09e-16 6.29e-17 48.18  617.67
