name x y flux0 flux1 flux2 width rv
F02598 -12.667 -11.727 2.25e-17 2.25e-17 1.24e-17 23.78 1257.58
F02599 -12.667 -11.727 5.32e-17 4.76e-17 2.07e-17 24.92 1257.60
F02601 -12.667 -11.727 4.27e-17 3.32e-17 2.95e-17 26.51 1257.51
F02602 -12.667 -11.727 2.46e-17 3.00e-17 1.89e-17 22.30 1257.46
F02603 -12.667 -11.727 7.29e-17 4.32e-17 2.74e-17 28.62 1257.46
F02604 -12.667 -11.727 3.83e-17 3.21e-17 2.61e-17 15.50 1257.59
F02605 -12.667 -11.727 2.27e-17 1.84e-17 1.13e-17 31.77 1257.44
F02606 -12.667 -11.727 7.16e-17 4.46e-17 4.31e-17 25.05 1257.51
F02607 -12.667 -11.727 9.07e-17 5.18e-17 2.61e-17 30.71 1257.47
F02608 -12.667 -11.727 2.90e-17 1.99e-17 1.46e-17 23.70 1257.34
F02609 -12.667 -11.727 8.50e-17 6.66e-17 3.83e-17 23.83 1257.58
F02610 -12.667 -11.727 5.47e-17 3.04e-17 2.97e-17 36.16 1257.78
F02612 -12.667 -11.727 3.25e-17 2.25e-17 1.54e-17 25.92 1257.54
F02613 -12.667 -11.727 5.76e-17 5.55e-17 2.92e-17 27.15 1257.37
F02614 -12.667 -11.727 2.43e-17 2.11e-17 1.29e-17 30.31 1257.49
F02615 -12.667 -11.727 3.25e-17 1.71e-17 1.84e-17 23.69 1257.53
F02616 -12.667 -11.727 8.54e-17 4.67e-17 3.29e-17 29.75 1257.49
F02617 -12.667 -11.727 2.53e-17 2.04e-17 1.28e-17 27.15 1257.42
F02618 -12.667 -11.727 3.97e-17 3.30e-17 1.62e-17 29.06 1257.47
F02619 -12.667 -11.727 7.06e-17 4.27e-17 3.39e-17 26.81 1257.52
F02620 -12.667 -11.727 5.88e-17 3.94e-17 2.76e-17 33.00 1257.55
F02621 -12.667 -11.727 1.33e-17 1.02e-17 7.40e-18 28.12 1257.33
F02622 -12.667 -11.727 3.80e-17 2.43e-17 2.14e-17 22.17 1257.72
F02623 -12.667 -11.727 3.14e-17 2.06e-17 1.37e-17 27.47 1257.47
F02624 -12.667 -11.727 1.77e-17 1.12e-17 8.87e-18 23.83 1257.48
F02625 -12.667 -11.727 2.74e-17 2.28e-17 1.43e-17 27.51 1257.47
F02626 -12.667 -11.727 5.11e-17 3.38e-17 2.17e-17 25.37 1257.69
F02628 -12.667 -11.727 3.22e-17 2.62e-17 1.58e-17 27.16 1257.50
F02629 -12.667 -11.727 1.38e-17 1.13e-17 6.72e-18 30.84 1257.59
F02447  -6.894  -1.213 3.97e-17 2.59e-17 1.64e-17 26.08 1499.09
F02451  -6.683  -0.750 2.35e-17 1.98e-17 1.40e-17 26.34 1499.37
F02449  -6.670  -0.720 2.72e-17 2.10e-17 1.35e-17 21.91 1499.21
F02436  -6.659  -0.700 2.27e-17 1.37e-17 1.11e-17 22.30 1499.34
F02438  -6.656  -0.843 2.62e-17 1.81e-17 1.18e-17 29.44 1499.39
F02448  -6.655  -0.598 3.58e-17 2.94e-17 1.99e-17 17.09 1499.11
F02442  -6.652  -0.793 2.39e-17 2.02e-17 1.29e-17 23.60 1499.40
F02440  -6.568  -0.673 2.29e-17 2.35e-17 1.34e-17 14.96 1499.15
F02455  -6.565  -0.746 4.06e-17 2.74e-17 1.68e-17 19.21 1499.45
F02452  -6.553  -0.788 4.55e-17 3.34e-17 2.06e-17 20.36 1499.18
F02441  -6.553  -0.718 2.68e-17 1.87e-17 1.24e-17 28.00 1499.19
F02454  -6.549  -0.719 2.13e-17 1.74e-17 9.95e-18 24.63 1499.26
F02456  -6.524  -0.455 1.46e-17 1.05e-17 9.17e-18 21.77 1499.07
F02444  -6.517  -0.642 2.93e-17 2.54e-17 1.80e-17 27.91 1499.21
F02443  -6.512  -0.704 3.50e-17 2.48e-17 1.30e-17 20.33 1499.31
F02437  -6.492  -0.660 2.04e-17 1.64e-17 1.13e-17 21.10 1499.23
F02439  -6.201  -0.353 4.17e-17 3.75e-17 2.51e-17 21.90 1499.37
