name x y flux0 flux1 flux2 width rv
F04772  18.350   6.170 1.23e-16 8.67e-17 4.55e-17 53.86  604.29
F04781  18.834   5.733 1.24e-16 8.37e-17 5.76e-17 67.33  604.29
F04774  18.935   5.832 1.52e-16 1.42e-16 7.23e-17 70.66  604.17
F04786  18.963   5.959 2.23e-16 1.38e-16 1.15e-16 41.25  604.21
F04773  19.023   5.920 2.72e-16 2.22e-16 1.46e-16 62.72  604.45
F04771  19.028   5.964 3.40e-16 2.08e-16 1.71e-16 67.67  604.51
F04775  19.029   5.906 9.28e-17 6.57e-17 4.86e-17 46.07  604.35
F04777  19.032   5.912 2.53e-16 1.23e-16 1.31e-16 54.15  604.34
F04789  19.040   5.894 1.69e-16 1.14e-16 7.64e-17 46.06  604.41
F04797  19.041   5.912 2.02e-16 1.40e-16 1.14e-16 53.99  604.15
F04770  19.043   5.868 2.11e-16 2.10e-16 9.82e-17 54.04  604.40
F04782  19.052   5.903 1.12e-16 9.84e-17 6.28e-17 52.71  604.33
F04793  19.055   5.856 1.32e-16 1.11e-16 5.19e-17 66.06  604.33
F04790  19.057   5.893 2.30e-16 1.83e-16 1.01e-16 75.89  604.38
F04788  19.057   5.891 5.35e-17 3.63e-17 2.72e-17 53.10  604.26
F04784  19.064   5.888 2.69e-16 2.17e-16 1.30e-16 58.52  604.33
F04785  19.064   6.146 3.77e-16 2.61e-16 2.15e-16 54.93  604.27
F04768  19.065   5.920 1.05e-16 8.26e-17 5.32e-17 53.57  604.25
F04791  19.065   5.959 9.95e-17 1.19e-16 6.30e-17 45.81  604.25
F04769  19.069   5.971 2.50e-16 1.36e-16 8.93e-17 58.35  604.24
F04794  19.070   5.830 8.66e-17 6.40e-17 4.44e-17 48.10  604.43
F04787  19.085   5.863 7.89e-17 6.48e-17 3.81e-17 51.43  604.44
F04783  19.102   5.715 1.13e-16 7.19e-17 4.89e-17 64.13  604.32
F04766  19.120   5.848 2.55e-16 1.62e-16 1.29e-16 57.11  604.39
F04798  19.131   5.771 1.93e-16 1.44e-16 1.07e-16 52.52  604.31
F04792  19.189   5.999 9.97e-17 9.22e-17 5.11e-17 58.98  604.21
F04796  19.263   5.535 2.04e-16 1.51e-16 1.12e-16 69.88  604.28
F04795  19.268   5.857 1.96e-16 1.32e-16 1.09e-16 46.01  604.18
F04779  19.275   5.993 4.29e-16 3.27e-16 1.59e-16 55.44  604.30
F04767  19.306   5.766 1.85e-16 1.31e-16 1.04e-16 48.01  604.54
F04776  19.433   6.038 2.14e-16 1.54e-16 1.20e-16 47.08  604.21
F02399  19.534  13.385 2.83e-17 2.43e-17 1.14e-17 20.94 1511.74
F04778  19.539   6.106 1.89e-16 1.49e-16 1.01e-16 50.15  604.30
F02382  19.636  13.084 3.12e-17 2.80e-17 1.69e-17 23.30 1511.69
F04780  19.708   6.170 1.29e-16 8.33e-17 6.09e-17 48.56  604.26
F02387  19.780  13.253 4.15e-17 2.50e-17 1.93e-17 19.46 1511.73
F02380  19.781  13.410 5.20e-17 3.47e-17 2.13e-17 24.96 1511.85
F02391  19.819  13.272 1.63e-17 1.05e-17 9.17e-18 20.51 1511.83
F02385  19.825  13.275 5.16e-17 3.35e-17 2.41e-17 23.73 1511.96
F02402  19.830  13.172 1.39e-17 1.05e-17 6.91e-18 21.39 1511.77
F02386  19.833  13.269 3.86e-17 1.96e-17 1.56e-17 22.28 1511.90
F02404  19.834  13.321 3.02e-17 1.89e-17 1.15e-17 22.15 1511.79
F02383  19.835  13.267 4.50e-17 3.28e-17 1.96e-17 22.95 1511.72
F02390  19.848  13.300 3.56e-17 2.94e-17 2.42e-17 26.10 1511.85
F02392  19.851  13.305 2.40e-17 2.05e-17 1.32e-17 25.10 1511.84
F02389  19.851  13.300 3.17e-17 2.60e-17 1.44e-17 20.47 1511.79
F02388  19.852  13.300 1.47e-17 1.11e-17 9.15e-18 25.77 1511.95
F02393  19.854  13.304 2.64e-17 2.25e-17 1.51e-17 19.99 1511.69
F02379  19.854  13.307 1.96e-17 1.18e-17 8.17e-18 21.42 1511.94
F02407  19.854  13.298 1.75e-17 1.27e-17 8.75e-18 19.21 1511.86
F02400  19.856  13.295 4.72e-17 3.24e-17 2.38e-17 23.25 1511.75
F02395  19.860  13.302 2.52e-17 1.39e-17 9.18e-18 17.98 1511.89
F02408  19.861  13.655 2.58e-17 2.05e-17 1.39e-17 24.01 1511.74
F02394  19.868  13.301 3.62e-17 2.48e-17 2.34e-17 31.47 1511.92
F02396  19.870  13.223 2.59e-17 1.54e-17 9.14e-18 21.04 1511.86
F02384  19.870  13.391 4.45e-17 3.79e-17 2.56e-17 25.61 1511.91
F02398  19.871  13.241 1.76e-17 1.44e-17 9.95e-18 28.93 1511.92
F02381  19.882  13.306 3.46e-17 2.04e-17 1.61e-17 22.20 1512.04
F02397  19.895  13.325 2.80e-17 1.91e-17 1.21e-17 26.03 1512.04
