name x y flux0 flux1 flux2 width rv
F00162  32.992  15.673 2.82e-15 1.72e-15 1.03e-15 241.78  158.25
F00182  33.005  15.671 1.86e-15 1.52e-15 9.62e-16 220.04  158.21
F00181  33.502  17.018 3.46e-15 3.00e-15 1.46e-15 249.72  158.20
F00174  34.055  15.684 2.26e-15 1.33e-15 9.16e-16 237.41  158.02
F00170  34.060  15.859 3.83e-15 2.46e-15 1.61e-15 226.31  158.25
F00159  34.195  15.357 1.95e-15 1.52e-15 8.04e-16 198.67  158.34
F00175  34.207  15.684 2.66e-15 1.40e-15 1.27e-15 267.99  158.16
F00179  34.316  16.135 3.30e-15 2.05e-15 1.56e-15 163.76  158.15
F00173  34.490  15.927 3.53e-15 2.52e-15 1.79e-15 193.57  158.31
F00164  34.520  16.829 3.20e-15 2.89e-15 1.71e-15 220.46  158.09
F00176  34.574  16.991 6.77e-16 4.82e-16 3.13e-16 197.60  158.30
F00178  34.600  15.055 4.23e-15 2.58e-15 2.17e-15 220.86  158.19
F00172  34.683  16.558 1.66e-15 1.53e-15 9.45e-16 269.45  158.09
F00180  34.683  16.287 2.60e-15 1.62e-15 1.28e-15 252.37  158.24
F00163  34.712  15.318 2.06e-15 1.71e-15 1.05e-15 246.95  158.17
F00160  34.806  17.474 2.45e-15 1.75e-15 1.32e-15 263.94  158.13
F00171  34.873  17.907 3.06e-15 2.56e-15 1.63e-15 237.23  157.99
F00183  35.452  15.260 1.92e-15 1.25e-15 9.37e-16 231.19  158.14
F00161  35.616  16.269 8.27e-16 5.76e-16 4.14e-16 243.55  158.10
F00168  35.744  18.617 2.67e-15 1.97e-15 1.19e-15 199.12  157.87
F00169  37.545  17.484 1.56e-15 1.22e-15 7.30e-16 209.74  157.64
F01744  38.704  20.485 1.42e-17 1.36e-17 7.60e-18 15.09 2200.14
F01749  38.745  20.470 1.86e-17 1.17e-17 7.27e-18 14.28 2200.28
F01746  38.751  20.414 3.09e-17 2.26e-17 1.31e-17 13.05 2200.04
F01726  38.782  20.324 1.64e-17 1.24e-17 8.30e-18 15.66 2200.10
F01730  38.804  20.380 1.78e-17 1.28e-17 6.49e-18 14.86 2200.03
F01740  38.809  20.282 1.69e-17 1.13e-17 8.26e-18 16.35 2200.10
F01751  38.810  20.470 1.90e-17 1.42e-17 8.62e-18 11.71 2200.23
F01742  38.821  20.438 1.73e-17 1.49e-17 9.84e-18 16.89 2200.19
F01729  38.832  20.409 2.62e-17 1.83e-17 1.01e-17 15.36 2200.18
F01728  38.928  20.536 1.54e-17 1.01e-17 9.28e-18 14.48 2200.15
F06617  39.541  26.870 1.81e-17 1.16e-17 8.54e-18 16.76 2005.61
F06618  39.554  26.853 2.56e-17 1.51e-17 1.18e-17 18.44 2005.36
F06612  39.567  26.754 2.18e-17 1.94e-17 1.01e-17 18.16 2005.51
F06613  39.600  26.956 2.16e-17 1.57e-17 1.11e-17 25.16 2005.58
F06637  39.626  26.874 1.82e-17 1.22e-17 7.59e-18 17.35 2005.67
F06633  39.657  26.895 1.29e-17 1.11e-17 5.43e-18 16.38 2005.66
F06629  39.657  26.859 2.10e-17 1.48e-17 1.12e-17 17.19 2005.48
F06624  39.659  26.823 1.89e-17 1.19e-17 8.11e-18 18.18 2005.53
F06635  39.662  26.890 1.79e-17 1.27e-17 7.77e-18 22.22 2005.30
F06630  39.664  26.893 1.36e-17 1.07e-17 8.60e-18 12.72 2005.70
F06628  39.674  26.903 3.23e-17 2.19e-17 1.35e-17 18.99 2005.49
F06634  39.689  27.502 2.75e-17 1.92e-17 1.13e-17 19.01 2005.49
F06616  39.691  26.896 2.15e-17 1.85e-17 1.36e-17 17.81 2005.57
F06625  39.693  27.014 1.54e-17 1.25e-17 7.82e-18 16.55 2005.50
F06608  39.710  26.854 2.09e-17 1.29e-17 9.70e-18 18.97 2005.55
F06615  39.720  26.861 1.81e-17 1.05e-17 8.19e-18 18.51 2005.40
F06610  39.752  26.957 2.65e-17 1.64e-17 1.05e-17 20.74 2005.56
