name x y flux0 flux1 flux2 width rv
F03482 -36.713 -44.551 2.16e-17 1.65e-17 8.61e-18 18.18 2045.61
F03480 -36.710 -44.801 1.93e-17 1.32e-17 9.88e-18 17.62 2045.57
F03483 -36.663 -44.820 1.55e-17 1.19e-17 6.64e-18 16.62 2045.46
F03487 -36.598 -44.738 1.45e-17 1.12e-17 7.50e-18 11.87 2045.74
F03479 -36.597 -44.759 1.50e-17 1.47e-17 7.81e-18 16.74 2045.61
F03496 -36.594 -44.809 2.40e-17 1.38e-17 1.32e-17 19.38 2045.65
F03491 -36.570 -44.727 2.35e-17 1.67e-17 1.03e-17 11.85 2045.53
F03492 -36.559 -44.741 2.89e-17 1.99e-17 1.04e-17 14.32 2045.55
F03493 -36.556 -44.712 1.88e-17 1.38e-17 9.62e-18 18.83 2045.49
F03495 -36.544 -44.654 2.56e-17 1.31e-17 1.15e-17 19.79 2045.35
F03481 -36.544 -44.636 1.76e-17 1.07e-17 6.14e-18 18.50 2045.55
F03488 -36.524 -44.739 1.87e-17 1.26e-17 8.09e-18 16.00 2045.39
F03494 -36.472 -44.682 1.60e-17 1.37e-17 1.04e-17 17.92 2045.73
F03484 -36.259 -44.729 2.28e-17 1.36e-17 9.22e-18 12.74 2045.50
F02469 -30.796 -40.544 9.31e-18 1.01e-17 6.86e-18 14.24 2332.04
F02461 -30.786 -40.621 2.60e-17 1.23e-17 9.31e-18 14.74 2332.03
F02464 -30.783 -40.529 1.47e-17 1.37e-17 7.13e-18 11.11 2332.28
F02457 -30.782 -40.534 1.37e-17 1.12e-17 5.87e-18 13.90 2332.16
F02483 -30.782 -40.520 1.64e-17 1.32e-17 9.28e-18 17.39 2332.12
F02463 -30.781 -40.516 2.35e-17 1.50e-17 8.91e-18 15.69 2332.16
F02468 -30.773 -40.542 2.64e-17 1.04e-17 9.88e-18 11.86 2332.40
F02474 -30.769 -40.505 2.17e-17 1.40e-17 7.33e-18 13.32 2331.83
F02462 -30.748 -40.759 1.76e-17 1.07e-17 7.79e-18 16.15 2332.11
F02475 -30.742 -40.524 1.29e-17 1.22e-17 6.12e-18 17.46 2331.99
F02473 -30.702 -40.575 2.76e-17 1.94e-17 1.01e-17 10.41 2332.12
F02481 -30.416 -39.631 1.49e-17 1.00e-17 7.81e-18 18.59 2331.91
