name x y flux0 flux1 flux2 width rv
F03732 -24.825   9.516 1.63e-17 1.47e-17 1.01e-17 14.10 2083.80
F03720 -24.781   9.707 2.46e-17 2.36e-17 1.15e-17 16.28 2083.60
F03731 -24.780   9.841 1.98e-17 1.64e-17 9.34e-18 12.08 2083.60
F03712 -24.764   9.790 2.23e-17 1.45e-17 1.25e-17 14.47 2083.46
F03714 -24.758   9.837 2.09e-17 1.52e-17 1.08e-17 14.97 2083.59
F03723 -24.751   9.772 1.58e-17 1.06e-17 7.22e-18 17.81 2083.51
F03726 -24.744   9.876 1.84e-17 1.25e-17 1.06e-17 15.45 2083.51
F03724 -24.740   9.788 1.92e-17 1.14e-17 8.46e-18 13.62 2083.46
F03729 -24.730   9.780 1.93e-17 1.46e-17 1.08e-17  8.70 2083.70
F03730 -24.725   9.727 1.77e-17 1.29e-17 9.67e-18 15.35 2083.58
F03707 -24.710   9.751 3.36e-17 2.63e-17 1.46e-17 17.02 2083.60
F03719 -24.706   9.660 2.03e-17 1.73e-17 1.02e-17 14.03 2083.56
F03710 -24.706   9.679 2.72e-17 1.55e-17 9.40e-18 20.19 2083.52
F03728 -24.690   9.709 1.62e-17 1.21e-17 8.61e-18 13.31 2083.51
F03716 -24.659   9.732 2.28e-17 1.19e-17 1.03e-17 22.03 2083.57
F03715 -24.589  10.087 1.45e-17 1.02e-17 6.47e-18 15.39 2083.53
F03721 -24.586   9.543 2.80e-17 1.83e-17 1.46e-17 14.01 2083.59
F05932 -23.676  14.964 2.93e-17 1.84e-17 1.42e-17 18.37 1598.63
F05928 -23.653  14.939 1.56e-17 1.07e-17 7.83e-18 19.43 1598.77
F05940 -23.646  14.948 3.50e-17 2.50e-17 2.18e-17 22.30 1598.71
F05945 -23.643  14.963 2.25e-17 1.48e-17 1.28e-17 14.04 1598.80
F05953 -23.640  14.911 3.65e-17 2.74e-17 1.88e-17 24.53 1598.85
F05923 -23.636  14.899 2.19e-17 2.06e-17 1.09e-17 21.20 1598.69
F05931 -23.635  14.915 3.02e-17 2.40e-17 1.27e-17 19.39 1598.50
F05924 -23.634  14.898 1.41e-17 1.07e-17 7.45e-18 21.17 1598.64
F05925 -23.633  14.920 3.37e-17 2.45e-17 1.18e-17 18.98 1598.75
F05935 -23.627  14.889 2.54e-17 2.03e-17 9.58e-18 26.14 1598.93
F05951 -23.620  14.974 2.61e-17 1.57e-17 1.08e-17 21.76 1598.80
F05938 -23.618  14.922 5.68e-17 3.29e-17 2.64e-17 17.84 1598.77
F05920 -23.616  14.904 2.96e-17 2.30e-17 1.17e-17 19.59 1598.65
F05939 -23.615  14.943 3.55e-17 2.11e-17 1.56e-17 18.58 1598.65
F05922 -23.613  14.879 3.49e-17 2.25e-17 1.43e-17 20.93 1598.78
F05941 -23.613  14.899 2.80e-17 2.35e-17 1.50e-17 20.38 1598.85
F05929 -23.611  14.878 3.24e-17 2.38e-17 1.68e-17 22.68 1598.84
F05942 -23.607  14.843 2.01e-17 1.26e-17 9.04e-18 26.47 1598.88
F05930 -23.607  14.919 2.82e-17 2.04e-17 1.41e-17 25.93 1598.84
F05952 -23.601  14.905 2.01e-17 1.73e-17 1.27e-17 23.77 1598.76
F05926 -23.600  14.935 3.46e-17 2.20e-17 1.63e-17 24.81 1598.88
F05949 -23.596  14.896 5.21e-17 4.17e-17 2.25e-17 26.88 1598.55
F05927 -23.589  14.768 1.63e-17 1.25e-17 8.86e-18 26.92 1598.86
F05934 -23.584  14.821 3.15e-17 2.25e-17 1.55e-17 27.87 1598.64
F05944 -23.539  14.859 3.94e-17 3.13e-17 2.33e-17 18.88 1598.92
F05943 -23.508  14.908 3.46e-17 2.58e-17 1.76e-17 27.06 1598.77
F05946 -23.481  14.904 1.45e-17 1.30e-17 6.99e-18 19.35 1598.76
F05950 -23.292  14.832 2.05e-17 1.81e-17 1.15e-17 23.69 1598.71
F02549 -19.566   6.971 1.77e-17 1.47e-17 8.91e-18 13.44 2145.31
F02552 -19.510   7.294 2.48e-17 1.87e-17 1.28e-17 18.22 2145.34
F02546 -19.505   7.275 1.49e-17 1.09e-17 6.50e-18 17.16 2145.22
F02565 -19.485   7.196 1.73e-17 1.29e-17 7.80e-18 13.64 2145.51
F02547 -19.458   7.317 1.96e-17 1.81e-17 8.87e-18 17.31 2145.40
F02561 -19.453   7.274 1.34e-17 1.18e-17 6.82e-18 17.19 2145.41
F02564 -19.416   7.206 1.60e-17 1.11e-17 7.43e-18 18.06 2145.36
F02554 -19.415   7.237 2.35e-17 1.52e-17 9.52e-18 12.94 2145.33
F02566 -19.409   7.251 2.29e-17 1.35e-17 1.19e-17 15.83 2145.40
F02550 -19.372   7.134 1.54e-17 1.14e-17 7.57e-18 15.73 2145.51
F02558 -19.324   7.178 2.26e-17 1.31e-17 1.10e-17 19.60 2145.43
