name x y flux0 flux1 flux2 width rv
F05654 -14.026  38.768 2.20e-17 1.53e-17 1.06e-17 14.19 2318.86
F05646 -13.958  38.716 1.74e-17 1.27e-17 7.93e-18 17.41 2318.77
F05642 -13.945  38.641 1.84e-17 1.39e-17 8.82e-18 12.74 2318.84
F05645 -13.944  38.696 1.48e-17 1.01e-17 6.97e-18 15.58 2319.19
F05652 -13.897  38.761 1.99e-17 1.35e-17 8.80e-18 14.71 2318.79
F04489  -7.828  36.586 3.30e-16 2.10e-16 1.50e-16 50.60  682.91
F04487  -7.718  38.020 1.06e-16 6.90e-17 4.70e-17 51.18  682.99
F04498  -7.136  37.603 2.39e-16 1.79e-16 1.16e-16 52.54  683.20
F04486  -6.897  38.248 7.12e-17 5.18e-17 3.26e-17 42.12  682.95
F04474  -6.867  37.951 7.77e-17 6.04e-17 4.19e-17 62.02  683.08
F04482  -6.860  37.673 2.04e-16 1.42e-16 9.18e-17 41.24  683.33
F04499  -6.817  37.812 1.71e-16 1.34e-16 8.62e-17 41.17  683.16
F04481  -6.785  37.279 1.28e-16 8.55e-17 5.96e-17 46.75  683.19
F04496  -6.775  37.478 3.56e-17 2.66e-17 1.85e-17 55.75  683.22
F04495  -6.703  37.849 5.65e-17 3.34e-17 2.57e-17 50.79  683.19
F04479  -6.702  37.491 3.61e-17 2.68e-17 1.72e-17 43.30  683.28
F04485  -6.694  37.150 1.27e-16 8.94e-17 5.85e-17 43.34  683.22
F04493  -6.689  37.825 1.29e-16 9.18e-17 6.72e-17 54.01  682.95
F04497  -6.644  37.769 1.79e-16 1.32e-16 8.56e-17 50.45  683.36
F04491  -6.638  37.771 2.29e-16 1.43e-16 1.14e-16 59.51  683.08
F04473  -6.637  37.757 3.77e-17 2.54e-17 1.58e-17 46.41  683.30
F04476  -6.622  37.751 3.63e-17 2.44e-17 1.75e-17 50.53  683.32
F04501  -6.613  37.737 1.75e-16 1.02e-16 7.46e-17 45.99  683.12
F04483  -6.599  37.787 2.77e-16 1.99e-16 1.29e-16 54.87  683.01
F04472  -6.567  37.726 1.41e-16 9.78e-17 6.16e-17 54.08  683.29
F04475  -6.567  37.792 1.27e-16 9.96e-17 6.22e-17 51.78  683.17
F04484  -6.566  37.453 1.14e-16 8.29e-17 5.85e-17 48.07  683.14
F04477  -6.550  37.902 2.26e-16 1.55e-16 1.08e-16 51.25  683.14
F04488  -6.544  37.738 1.57e-16 1.16e-16 7.62e-17 55.69  683.12
F04478  -6.450  37.605 1.95e-16 1.44e-16 9.16e-17 35.89  683.33
F04480  -6.244  37.898 2.65e-16 1.81e-16 1.26e-16 48.13  683.08
F04494  -6.057  37.970 9.22e-17 5.85e-17 3.95e-17 49.65  683.11
F04490  -6.047  38.327 1.55e-16 1.03e-16 5.96e-17 39.33  683.02
F04492  -5.911  37.399 1.26e-16 8.43e-17 5.94e-17 44.09  683.05
F04502  -5.874  37.435 1.58e-16 1.14e-16 8.18e-17 57.53  683.16
F04500  -5.601  36.100 1.81e-16 1.28e-16 8.02e-17 43.16  682.82
