name x y flux0 flux1 flux2 width rv
F02001   8.387  10.153 2.39e-17 1.81e-17 1.10e-17 21.80 1764.33
F01411   8.526  14.948 5.56e-17 4.44e-17 3.26e-17 33.93  857.91
F01988   8.618  10.037 2.98e-17 2.39e-17 1.41e-17 24.47 1764.34
F01998   8.647   9.996 4.35e-17 3.05e-17 1.82e-17 15.97 1764.19
F02003   8.657   9.932 2.37e-17 1.59e-17 8.15e-18 18.11 1764.44
F02011   8.677  10.022 2.02e-17 1.32e-17 9.87e-18 25.80 1764.54
F01996   8.677   9.991 2.66e-17 2.30e-17 1.51e-17 17.95 1764.39
F01388   8.682  14.968 8.25e-17 5.25e-17 3.95e-17 47.02  857.92
F02004   8.685  10.118 3.46e-17 3.56e-17 1.94e-17 27.67 1764.40
F01989   8.697  10.080 2.95e-17 1.85e-17 1.46e-17 19.87 1764.28
F01997   8.701  10.006 2.90e-17 1.89e-17 1.34e-17 20.61 1764.53
F01987   8.703  10.006 2.79e-17 2.10e-17 1.64e-17 17.44 1764.36
F02013   8.719  10.024 2.35e-17 1.83e-17 1.21e-17 19.59 1764.34
F02005   8.719  10.007 1.40e-17 1.10e-17 8.11e-18 16.32 1764.33
F01999   8.724  10.068 1.27e-17 1.10e-17 6.29e-18 21.27 1764.54
F02007   8.724   9.931 4.53e-17 3.42e-17 1.82e-17 17.86 1764.23
F02012   8.729  10.248 2.79e-17 2.00e-17 1.41e-17 12.41 1764.13
F02002   8.777  10.023 2.49e-17 1.83e-17 1.18e-17 16.74 1764.29
F01992   8.798   9.996 3.47e-17 2.50e-17 1.66e-17 16.05 1764.25
