name x y flux0 flux1 flux2 width rv
F06066  16.875  -9.534 1.60e-16 1.04e-16 7.12e-17 31.35  851.40
F06050  16.982  -9.542 1.10e-16 6.43e-17 4.56e-17 31.28  851.48
F06051  17.032  -9.324 1.21e-16 8.17e-17 5.01e-17 38.91  851.56
F06065  17.036  -9.503 1.66e-16 1.07e-16 6.32e-17 36.93  851.46
F06052  17.047  -9.533 1.60e-16 1.44e-16 8.62e-17 40.35  851.50
F06061  17.050  -9.456 9.58e-17 8.53e-17 5.60e-17 47.11  851.40
F06054  17.055  -9.540 9.16e-17 9.30e-17 5.78e-17 25.43  851.42
F06068  17.059  -9.675 1.18e-16 1.30e-16 8.00e-17 41.59  851.46
F06072  17.061  -9.488 9.33e-17 7.05e-17 5.21e-17 36.60  851.45
F06062  17.063  -9.494 9.50e-17 7.11e-17 6.20e-17 36.23  851.62
F06067  17.075  -9.473 5.23e-17 2.85e-17 2.57e-17 48.05  851.59
F06071  17.082  -9.448 2.99e-17 2.36e-17 2.06e-17 34.81  851.51
F06059  17.084  -9.487 1.03e-16 6.38e-17 5.68e-17 35.32  851.45
F06076  17.084  -9.486 8.61e-17 6.31e-17 5.09e-17 39.30  851.46
F06055  17.100  -9.480 1.07e-16 9.88e-17 5.59e-17 37.86  851.51
F06064  17.112  -9.472 7.63e-17 6.11e-17 4.44e-17 43.86  851.45
F06063  17.125  -9.442 1.34e-16 9.11e-17 4.81e-17 39.11  851.55
F06058  17.133  -9.374 1.02e-16 4.95e-17 3.90e-17 41.05  851.62
F06074  17.166  -9.598 1.08e-16 5.77e-17 5.00e-17 36.26  851.51
F06056  17.171  -9.589 7.71e-17 4.52e-17 4.32e-17 42.74  851.71
F06069  17.190  -9.495 1.30e-16 7.92e-17 5.91e-17 32.13  851.46
F06057  17.213  -9.479 1.30e-16 8.81e-17 4.62e-17 48.74  851.34
F06060  17.334  -9.576 1.09e-16 9.84e-17 5.28e-17 45.00  851.38
F06053  17.337  -9.164 8.96e-17 6.34e-17 3.23e-17 31.93  851.43
F06073  17.371  -9.622 8.56e-17 8.30e-17 4.86e-17 36.76  851.44
F06070  17.411  -9.027 6.39e-17 6.40e-17 3.59e-17 47.60  851.19
F06075  17.619  -9.545 1.28e-16 1.01e-16 5.71e-17 31.02  851.51
F06775  19.002 -13.023 8.00e-17 5.93e-17 2.69e-17 40.65  750.09
F06791  19.088 -12.647 1.90e-16 1.42e-16 1.10e-16 54.39  750.12
F06774  19.101 -12.748 2.93e-17 1.89e-17 1.25e-17 53.73  750.28
F06785  19.149 -12.552 1.97e-16 1.42e-16 1.06e-16 49.29  750.08
F06793  19.165 -12.603 1.63e-16 1.28e-16 8.77e-17 42.55  750.03
F06777  19.197 -12.688 1.51e-16 9.18e-17 8.53e-17 51.37  750.03
F06789  19.204 -12.638 2.01e-16 1.74e-16 1.01e-16 47.72  750.01
F06796  19.210 -12.530 1.88e-16 1.15e-16 8.43e-17 45.69  750.08
F06795  19.245 -12.613 5.69e-17 6.57e-17 3.48e-17 39.15  750.06
F06787  19.252 -12.495 9.34e-17 7.54e-17 4.07e-17 50.05  749.99
F06790  19.257 -12.649 7.98e-17 5.61e-17 3.25e-17 53.53  750.20
F06783  19.264 -12.557 1.36e-16 9.00e-17 5.38e-17 52.52  749.99
F06792  19.283 -12.616 5.19e-17 4.47e-17 3.16e-17 44.39  750.22
F06786  19.285 -12.691 7.44e-17 4.05e-17 3.89e-17 42.27  750.19
F06773  19.286 -12.616 1.07e-16 6.62e-17 4.64e-17 33.20  750.13
F06776  19.295 -12.624 1.55e-16 5.58e-17 4.84e-17 50.53  750.10
F06770  19.297 -12.626 2.94e-16 1.65e-16 1.05e-16 43.21  750.17
F06782  19.300 -12.439 8.52e-17 6.48e-17 3.97e-17 47.59  750.11
F06778  19.305 -12.637 1.24e-16 9.17e-17 8.75e-17 41.27  750.10
F06788  19.327 -12.620 1.96e-16 1.53e-16 8.52e-17 46.46  750.21
F06769  19.337 -12.628 9.49e-17 7.48e-17 5.44e-17 45.70  750.08
F06794  19.347 -12.725 1.55e-16 8.21e-17 6.21e-17 39.19  750.03
F06771  19.357 -12.626 1.36e-16 1.05e-16 7.53e-17 43.55  750.16
F06768  19.367 -12.799 6.13e-17 5.12e-17 3.03e-17 38.57  750.12
F06772  19.372 -12.504 8.22e-17 5.69e-17 3.66e-17 46.34  749.94
F06784  19.386 -12.560 7.00e-17 3.60e-17 2.45e-17 57.89  749.98
F06780  19.410 -12.640 3.50e-17 1.64e-17 1.59e-17 29.72  750.06
F06779  19.512 -12.892 9.07e-17 6.46e-17 4.44e-17 39.23  750.12
F06781  19.528 -12.703 7.78e-17 4.98e-17 3.56e-17 68.04  750.05
F02297  23.723 -11.736 4.56e-15 3.69e-15 2.49e-15 289.64  140.76
F02313  25.134  -5.583 2.47e-15 2.17e-15 1.53e-15 286.68  140.50
F02288  25.618  -5.664 2.97e-15 1.61e-15 1.13e-15 232.44  140.66
F02317  27.291  -9.600 1.84e-15 9.79e-16 6.75e-16 295.03  141.06
F02292  27.380  -8.117 3.84e-15 2.76e-15 2.02e-15 279.91  141.23
F02291  27.809 -10.335 2.14e-15 1.61e-15 8.01e-16 210.49  141.20
F02296  27.809  -8.239 2.90e-15 1.84e-15 1.84e-15 281.75  141.15
F02314  27.841  -9.837 3.62e-15 3.07e-15 2.46e-15 215.87  141.17
F02293  27.842  -8.957 2.28e-15 2.41e-15 1.67e-15 241.12  141.06
F02302  27.852 -10.865 8.69e-15 6.55e-15 3.10e-15 282.55  141.14
F02315  28.069  -9.028 3.28e-15 2.24e-15 1.32e-15 139.18  140.93
F02295  28.092  -8.752 4.21e-15 3.48e-15 1.93e-15 336.65  141.18
F02289  28.135  -9.026 4.90e-15 3.24e-15 1.85e-15 226.17  141.09
F02310  28.137  -9.396 2.27e-15 2.06e-15 1.73e-15 262.45  141.10
F02290  28.193 -10.045 4.71e-15 3.85e-15 2.25e-15 256.09  141.21
F02304  28.199  -9.145 4.47e-15 2.95e-15 2.90e-15 255.68  141.12
F02299  28.205  -8.880 2.26e-15 1.25e-15 8.83e-16 233.74  140.84
F02316  28.224  -9.284 3.05e-15 2.24e-15 1.54e-15 186.58  141.29
F02294  28.245  -9.194 7.88e-15 4.41e-15 3.51e-15 245.16  141.18
F02305  28.273  -9.900 4.98e-15 3.00e-15 2.40e-15 235.77  141.04
F02300  28.288  -8.629 1.25e-15 1.24e-15 7.72e-16 210.57  141.06
F02307  28.487  -9.289 6.21e-15 4.87e-15 2.58e-15 257.55  141.12
F02298  28.547  -8.472 4.56e-15 3.67e-15 1.90e-15 288.02  141.04
F02303  28.614  -8.956 3.44e-15 1.78e-15 1.53e-15 258.82  141.18
F02306  29.377 -10.790 3.78e-15 2.80e-15 1.63e-15 244.29  141.06
F02312  29.534  -8.449 2.14e-15 1.70e-15 9.40e-16 248.37  141.08
F02301  29.716  -9.881 2.05e-15 1.16e-15 9.52e-16 273.07  141.03
