name x y flux0 flux1 flux2 width rv
F02897 -23.200 -33.514 2.02e-17 1.98e-17 1.13e-17 15.42 1975.29
F02891 -23.166 -33.646 2.43e-17 2.12e-17 9.73e-18 14.25 1975.34
F02884 -23.129 -33.498 1.68e-17 1.13e-17 8.70e-18 11.96 1975.45
F02885 -23.085 -33.475 1.86e-17 1.22e-17 6.51e-18 16.41 1975.42
F02880 -23.076 -33.493 1.23e-17 1.12e-17 6.38e-18 18.38 1975.17
F02883 -23.063 -33.457 1.34e-17 1.21e-17 6.71e-18 20.53 1975.41
F02882 -23.058 -33.471 2.08e-17 1.25e-17 8.75e-18 17.79 1975.37
F02881 -23.053 -33.491 1.85e-17 1.39e-17 7.22e-18 19.68 1975.35
F02893 -23.051 -33.464 1.95e-17 2.38e-17 1.40e-17 20.17 1975.35
F02889 -23.043 -33.309 1.38e-17 1.33e-17 9.28e-18 19.21 1975.43
F02887 -23.042 -33.479 1.61e-17 1.55e-17 8.97e-18 16.56 1975.38
F02874 -23.035 -33.487 2.17e-17 1.13e-17 6.76e-18 18.17 1975.46
F02899 -23.032 -33.356 2.31e-17 2.34e-17 9.07e-18 18.76 1975.32
F02900 -23.030 -33.520 2.91e-17 2.70e-17 1.26e-17 17.27 1975.53
F02890 -23.025 -33.524 2.27e-17 1.78e-17 1.10e-17 22.29 1975.46
F02876 -23.023 -33.469 2.23e-17 1.43e-17 1.05e-17 13.48 1975.41
F02894 -22.882 -33.540 1.57e-17 1.39e-17 6.69e-18 18.23 1975.31
F00580 -21.966 -31.603 1.65e-17 1.29e-17 9.56e-18 12.52 2138.86
F00577 -21.909 -31.627 1.63e-17 1.63e-17 7.68e-18 14.53 2138.87
F00581 -21.885 -31.593 1.74e-17 1.66e-17 8.96e-18 14.52 2138.78
F00578 -21.851 -31.590 2.15e-17 1.64e-17 8.88e-18 12.74 2138.77
F00588 -21.838 -31.466 2.19e-17 1.43e-17 1.13e-17 19.86 2138.81
F00596 -21.837 -31.605 2.35e-17 1.54e-17 9.75e-18 18.44 2139.05
F00586 -21.828 -31.597 1.99e-17 1.10e-17 1.03e-17 16.00 2138.83
F00576 -21.826 -31.598 2.33e-17 1.61e-17 1.34e-17 19.25 2138.66
F00591 -21.823 -31.565 1.71e-17 1.04e-17 6.27e-18 12.65 2138.80
F00585 -21.821 -31.582 2.18e-17 1.47e-17 1.15e-17 18.17 2138.72
F00595 -21.808 -31.531 1.66e-17 1.27e-17 7.33e-18 16.77 2138.90
F00597 -21.807 -31.550 1.72e-17 1.27e-17 6.57e-18 15.14 2138.64
F00579 -21.805 -31.577 2.54e-17 1.16e-17 1.01e-17 17.38 2138.82
F00582 -21.795 -31.574 1.87e-17 1.18e-17 6.02e-18 17.56 2138.91
F00575 -21.744 -31.615 1.62e-17 1.40e-17 8.81e-18 20.46 2138.80
F00594 -21.668 -31.558 1.88e-17 1.33e-17 9.47e-18 21.80 2138.87
