name x y flux1 flux2 flux3 par rv
P04175 -14.789  22.351 4.12e-16 2.61e-16 1.68e-16   0.000    1.26
P01503 -14.654  17.224 1.23e-16 9.93e-17 6.04e-17   0.001    0.94
P04848 -14.732  20.555 1.22e-14 6.15e-15 2.93e-15   0.001    1.48
P04596 -14.690  19.249 6.03e-13 3.48e-13 1.81e-13   0.001    1.40
P01409 -14.592  18.817 2.16e-14 1.02e-14 4.78e-15   0.001    1.23
P04828 -14.604  19.889 1.45e-15 9.67e-16 4.89e-16   0.001    1.48
P00125 -14.480  17.833 1.72e-17 1.83e-17 1.53e-17   0.002    1.20
P01332 -14.437  20.157 3.99e-15 2.20e-15 1.06e-15   0.000    1.45
P03246 -14.349  20.855 1.79e-13 3.19e-13 4.39e-13   0.002    1.28
P02350 -14.172  19.712 1.08e-15 6.22e-16 3.46e-16  -0.001    1.43
P00017 -14.157  18.093 1.04e-15 7.14e-16 3.91e-16   0.000    0.97
P03481 -14.100  19.900 2.49e-16 2.02e-16 1.17e-16   0.001    1.42
P02566 -14.010  21.488 2.73e-15 1.54e-15 9.29e-16   0.002    1.13
P03488 -13.962  19.465 5.83e-15 3.08e-15 1.40e-15   0.003    1.40
P00135 -13.631  20.436 1.36e-14 6.58e-15 3.07e-15   0.002    1.38
P04947 -13.446  19.378 1.62e-17 1.79e-17 1.52e-17   0.001    1.31
P01618 -13.353  18.172 3.45e-17 3.32e-17 2.61e-17   0.002    0.92
P02092 -13.292  23.572 4.50e-14 2.35e-14 1.12e-14   0.002    0.75
P04547 -13.163  20.206 2.63e-16 2.12e-16 1.16e-16   0.002    1.32
P03574 -13.312  20.524 8.89e-15 4.99e-15 2.10e-15   0.001    1.30
P04756 -13.012  19.343 3.22e-14 1.65e-14 7.09e-15   0.002    1.01
P03266 -12.926  20.432 5.14e-17 4.39e-17 3.42e-17   0.000    1.28
P02053 -12.829  19.513 7.64e-17 6.13e-17 4.52e-17   0.001    1.28
P04525 -12.625  19.373 7.91e-17 7.18e-17 4.71e-17   0.001    1.23
P03636 -12.469  18.991 2.59e-15 1.50e-15 7.24e-16   0.002    1.00
