name x y flux1 flux2 flux3 par rv
P02276   7.489  -9.895 3.28e-17 2.59e-17 1.88e-17   0.002    1.16
P04876  13.369  -9.561 6.15e-15 3.22e-15 1.18e-15   0.000    0.99
P03550  13.475  -9.603 6.47e-15 3.02e-15 1.37e-15   0.000    1.12
P04212  13.776  -9.959 5.74e-15 2.55e-15 1.16e-15   0.001    1.17
P04709  13.685 -10.031 1.77e-16 1.28e-16 6.97e-17   0.001    1.21
P04647  14.019  -9.900 1.93e-15 8.93e-16 5.06e-16   0.001    1.08
P04247  14.252  -9.877 1.39e-16 9.96e-17 6.05e-17  -0.000    1.11
P04559  14.217  -9.701 7.12e-17 5.67e-17 3.11e-17   0.001    1.06
P01967  14.316  -9.851 1.93e-14 3.82e-14 6.95e-14   0.001    1.16
P04518  14.398  -9.951 4.53e-15 2.03e-15 9.84e-16   0.001    1.11
P04233  14.693 -10.066 2.62e-15 1.53e-15 7.16e-16  -0.001    1.00
P00970  14.784  -9.933 1.36e-15 7.87e-16 4.22e-16   0.000    0.94
