name x y flux1 flux2 flux3 par rv
P04154  15.164  -9.669 4.51e-17 3.51e-17 2.12e-17   0.000    1.05
P00814  15.257  -9.218 1.33e-17 1.25e-17 9.16e-18   0.001    1.04
P01545  15.332 -10.086 1.63e-15 9.27e-16 4.50e-16   0.001    1.08
P04821  15.552  -9.905 7.05e-17 5.34e-17 3.35e-17   0.001    0.93
P02795  15.615  -9.162 9.27e-14 4.67e-14 1.97e-14   0.001    1.00
P03824  15.721  -9.847 6.90e-16 4.43e-16 2.13e-16   0.002    0.64
P01021  15.982  -9.810 1.06e-15 6.34e-16 3.89e-16  -0.002    0.86
P01976  15.903 -10.046 5.19e-15 3.40e-15 1.43e-15   0.000    0.57
P01824  15.993  -9.391 1.13e-15 7.03e-16 3.08e-16  -0.001    0.79
P04169  16.051  -9.870 2.74e-15 1.47e-15 6.57e-16   0.001    0.78
P03207  16.097  -9.589 7.30e-15 3.14e-15 1.30e-15   0.000    0.73
P00646  16.158 -10.101 3.15e-17 2.65e-17 1.61e-17   0.001    0.55
P01309  16.242 -10.267 1.21e-14 7.31e-15 3.00e-15   0.000    0.44
P00815  16.325  -9.677 7.45e-17 5.02e-17 2.92e-17   0.001    0.75
P04304  16.322  -9.774 1.44e-16 9.28e-17 5.81e-17   0.001    0.73
P00353  16.400  -9.530 3.57e-16 2.09e-16 1.18e-16   0.001    0.66
P03019  16.510  -9.913 2.92e-16 1.61e-16 9.95e-17   0.003    0.73
P03791  16.512  -9.583 6.51e-17 4.77e-17 3.26e-17   0.002    0.54
P02912  16.521  -9.572 3.76e-17 2.81e-17 1.78e-17  -0.000    0.61
P03091  16.581  -9.502 1.59e-17 1.53e-17 9.55e-18   0.000    0.56
P02057  16.690 -10.107 2.60e-17 1.97e-17 1.51e-17   0.001    0.48
P00676  16.650  -9.555 6.51e-17 4.89e-17 3.02e-17   0.001    0.45
P00722  16.627  -9.512 1.08e-13 4.82e-14 2.46e-14   0.001    0.31
P04957  16.723  -9.615 1.82e-17 1.82e-17 1.14e-17  -0.000    0.49
