name x y flux0 flux1 flux2 width rv
F02213  17.240 -20.600 6.25e-16 4.82e-16 4.62e-16 98.01  358.19
F02217  17.265 -20.436 6.53e-16 4.45e-16 3.38e-16 89.43  358.56
F02215  17.718 -20.864 7.90e-16 4.46e-16 4.45e-16 113.66  358.38
F02219  17.721 -20.687 5.92e-16 2.71e-16 2.02e-16 95.63  358.50
F02207  17.760 -20.358 1.21e-16 7.77e-17 7.80e-17 98.21  358.42
F02212  17.809 -20.414 8.68e-16 5.52e-16 3.05e-16 96.80  358.42
F02199  17.862 -20.695 8.62e-16 5.29e-16 5.15e-16 117.60  358.42
F02223  17.901 -20.791 2.27e-16 2.21e-16 1.76e-16 65.20  358.45
F02209  17.920 -20.199 6.77e-16 3.54e-16 2.84e-16 102.87  358.30
F02216  17.934 -20.495 3.26e-16 2.60e-16 1.32e-16 96.18  358.55
F02220  17.948 -20.635 7.11e-16 3.71e-16 2.88e-16 95.29  358.41
F02202  17.958 -20.774 2.66e-16 1.22e-16 1.17e-16 110.90  358.58
F02224  18.024 -20.522 5.76e-16 4.17e-16 2.36e-16 93.16  358.52
F02200  18.039 -20.163 4.77e-16 4.26e-16 2.23e-16 99.90  358.21
F02210  18.072 -20.218 2.10e-16 1.53e-16 9.32e-17 71.41  358.39
F02206  18.077 -20.501 8.21e-16 6.83e-16 4.34e-16 89.93  358.31
F02214  18.082 -20.635 2.30e-16 2.03e-16 1.39e-16 83.87  358.60
F02222  18.083 -20.598 4.38e-16 2.96e-16 1.86e-16 75.32  358.58
F02208  18.087 -20.627 5.59e-16 3.56e-16 1.71e-16 99.15  358.29
F02221  18.104 -20.559 6.46e-16 3.92e-16 3.98e-16 71.23  358.50
F02205  18.191 -20.299 4.39e-16 2.44e-16 1.35e-16 113.52  358.28
F02218  18.244 -20.424 1.02e-15 5.91e-16 4.00e-16 85.76  358.47
F02211  18.253 -20.415 6.06e-16 3.81e-16 4.10e-16 126.03  358.49
F02203  18.266 -20.500 6.86e-16 6.37e-16 3.74e-16 75.13  358.22
F02201  18.406 -20.239 7.69e-16 4.46e-16 4.22e-16 74.07  358.40
F02204  18.526 -20.879 3.04e-16 4.13e-16 2.80e-16 112.59  358.40
F05081  26.497 -15.212 8.08e-17 3.76e-17 4.29e-17 28.18 1116.32
F05097  26.789 -15.056 5.17e-17 3.53e-17 2.71e-17 34.01 1116.27
F05090  26.822 -15.160 1.55e-17 1.68e-17 8.85e-18 34.24 1116.25
F05077  26.844 -15.237 7.97e-17 4.63e-17 3.69e-17 29.25 1116.32
F05086  26.856 -15.003 8.04e-17 4.66e-17 5.04e-17 28.40 1116.27
F05094  26.884 -15.273 4.53e-17 4.53e-17 2.05e-17 28.08 1116.19
F05075  26.932 -15.215 2.81e-17 1.84e-17 1.21e-17 23.50 1116.24
F05085  26.940 -15.060 5.28e-17 3.38e-17 2.43e-17 30.46 1116.00
F05073  26.967 -15.161 6.15e-17 6.63e-17 3.78e-17 31.26 1116.28
F05079  26.968 -15.153 5.13e-17 4.71e-17 2.40e-17 26.78 1116.18
F05093  26.978 -15.380 4.94e-17 4.55e-17 2.13e-17 28.51 1116.32
F05074  26.984 -15.151 6.12e-17 5.04e-17 2.82e-17 25.05 1116.13
F05096  27.004 -15.296 5.63e-17 2.59e-17 2.45e-17 36.00 1116.10
F05089  27.004 -15.185 7.90e-17 4.67e-17 3.42e-17 35.06 1116.16
F05099  27.006 -15.384 6.66e-17 4.39e-17 2.36e-17 41.37 1116.19
F05100  27.007 -15.155 5.31e-17 3.13e-17 2.46e-17 31.59 1116.29
F05078  27.014 -15.201 3.00e-17 2.21e-17 1.60e-17 31.78 1116.22
F05098  27.034 -15.162 7.27e-17 5.75e-17 2.90e-17 31.35 1116.26
F05091  27.047 -15.199 7.64e-17 5.41e-17 3.36e-17 31.04 1116.12
F05080  27.052 -15.209 4.56e-17 4.88e-17 2.34e-17 21.68 1116.14
F05083  27.063 -15.293 3.65e-17 2.47e-17 1.80e-17 28.14 1116.18
F05076  27.077 -15.262 7.67e-17 4.98e-17 2.92e-17 30.61 1116.13
F05101  27.081 -15.277 5.82e-17 2.78e-17 2.15e-17 31.44 1116.18
F05088  27.105 -15.097 7.39e-17 6.60e-17 4.23e-17 36.37 1116.08
F05087  27.130 -15.482 8.54e-17 5.36e-17 4.31e-17 27.22 1116.20
F05072  27.145 -15.345 5.33e-17 4.53e-17 2.37e-17 28.64 1116.27
F05095  27.151 -15.358 9.54e-17 6.25e-17 4.94e-17 26.24 1116.25
F05084  27.156 -15.228 6.42e-17 4.31e-17 2.83e-17 28.65 1116.34
