name x y flux0 flux1 flux2 width rv
F01985  34.482 -17.448 8.10e-16 5.73e-16 3.52e-16 108.56  272.90
F01961  34.964 -18.317 1.77e-15 1.04e-15 5.32e-16 175.80  272.83
F01970  35.386 -16.466 8.58e-16 6.04e-16 2.79e-16 153.17  273.15
F01960  35.494 -16.073 6.71e-16 7.50e-16 3.43e-16 135.74  273.22
F01968  35.565 -16.844 7.95e-16 4.51e-16 3.91e-16 123.57  273.15
F01975  35.606 -15.850 1.08e-15 1.19e-15 5.93e-16 131.27  273.09
F01981  35.679 -15.984 5.07e-16 2.53e-16 1.21e-16 136.06  273.13
F01962  35.723 -16.767 6.11e-16 4.56e-16 3.96e-16 104.00  272.99
F01959  35.755 -16.136 1.48e-15 7.33e-16 5.67e-16 113.69  273.22
F01980  35.757 -16.749 1.05e-15 6.49e-16 4.79e-16 159.30  273.03
F01972  35.777 -16.024 2.17e-16 1.95e-16 9.40e-17 123.57  273.04
F01977  35.792 -16.226 8.06e-16 4.17e-16 2.77e-16 121.29  273.15
F01978  35.793 -17.085 1.07e-15 5.96e-16 4.34e-16 189.23  273.09
F01973  35.814 -16.232 1.67e-15 1.38e-15 7.53e-16 131.15  273.13
F01963  35.819 -15.491 9.78e-16 6.65e-16 4.72e-16 130.23  273.09
F01969  35.840 -16.199 1.10e-15 6.00e-16 4.80e-16 132.29  273.18
F01983  35.909 -16.240 1.45e-15 1.11e-15 7.30e-16 110.59  273.10
F01979  35.921 -16.270 1.15e-15 5.54e-16 4.38e-16 158.62  273.22
F01976  35.975 -16.068 1.08e-15 5.40e-16 5.17e-16 110.06  273.09
F01974  35.988 -16.851 8.24e-16 5.09e-16 4.30e-16 127.42  273.13
F01965  36.079 -16.558 5.47e-16 5.62e-16 3.06e-16 115.90  273.26
F01966  36.094 -17.346 6.42e-16 5.73e-16 2.41e-16 116.52  273.23
F01967  36.104 -15.784 9.69e-16 4.07e-16 2.85e-16 129.42  273.22
F01984  36.260 -17.269 1.12e-15 7.99e-16 5.52e-16 116.76  273.28
F01964  36.280 -15.054 1.22e-15 6.74e-16 4.13e-16 159.37  272.94
F01986  36.475 -16.376 1.64e-15 9.66e-16 7.94e-16 136.51  273.01
F01971  36.703 -16.926 1.94e-16 1.46e-16 1.13e-16 117.40  273.06
F01982  36.711 -15.913 1.27e-15 9.07e-16 4.00e-16 126.46  273.12
F00226  39.146 -18.235 2.96e-17 2.49e-17 1.58e-17 22.10 1695.06
F00242  39.227 -18.326 4.09e-17 2.00e-17 1.21e-17 22.95 1695.11
F00234  39.234 -18.280 3.60e-17 3.02e-17 1.70e-17 20.74 1695.14
F00246  39.263 -18.398 2.62e-17 2.72e-17 1.53e-17 19.01 1695.32
F00247  39.268 -18.360 2.27e-17 1.58e-17 1.62e-17 20.69 1695.27
F00245  39.286 -18.361 2.54e-17 1.92e-17 9.37e-18 23.18 1695.21
F00220  39.289 -18.394 2.22e-17 1.65e-17 1.10e-17 16.45 1695.23
F00244  39.289 -18.361 3.53e-17 2.09e-17 1.39e-17 20.07 1695.12
F00235  39.290 -18.360 2.76e-17 2.36e-17 1.08e-17 21.19 1695.17
F00238  39.293 -18.358 3.39e-17 1.44e-17 1.50e-17 23.33 1695.14
F00228  39.296 -18.375 2.30e-17 1.91e-17 1.48e-17 20.66 1695.16
F00222  39.297 -18.395 2.14e-17 1.72e-17 1.11e-17 22.63 1695.12
F00227  39.301 -18.326 1.39e-17 1.07e-17 8.69e-18 17.75 1695.02
F00224  39.301 -18.289 2.03e-17 1.40e-17 8.12e-18 19.49 1695.18
F00232  39.313 -18.218 2.48e-17 1.25e-17 1.00e-17 16.17 1695.24
F00236  39.334 -18.447 4.21e-17 2.71e-17 2.35e-17 15.70 1695.07
F00221  39.342 -18.288 4.64e-17 3.61e-17 2.57e-17 21.26 1695.11
F00223  39.346 -18.373 1.58e-17 1.37e-17 6.19e-18 19.27 1695.35
F00225  39.353 -18.741 3.03e-17 2.33e-17 1.08e-17 25.32 1695.30
F00240  39.365 -18.378 3.44e-17 2.09e-17 2.13e-17 19.29 1695.07
F00229  39.374 -18.292 4.97e-17 2.64e-17 2.25e-17 22.27 1695.22
F00233  39.502 -18.112 1.95e-17 1.11e-17 8.43e-18 20.78 1695.05
F02491  40.291 -23.770 3.26e-17 2.55e-17 1.67e-17 21.21 1774.24
F02493  41.335 -24.228 1.58e-17 1.41e-17 7.00e-18 20.00 1774.61
F02495  41.418 -24.080 2.40e-17 1.76e-17 9.16e-18 15.36 1774.64
F02494  41.420 -24.439 3.23e-17 1.92e-17 2.04e-17 19.20 1774.56
F02499  41.449 -24.402 1.60e-17 1.81e-17 1.40e-17 19.65 1774.82
F02489  41.451 -24.323 2.57e-17 1.15e-17 9.36e-18 14.89 1774.68
F02510  41.452 -24.320 3.56e-17 2.03e-17 2.28e-17 19.65 1774.74
F02509  41.461 -24.008 7.45e-18 1.07e-17 4.86e-18 18.03 1774.65
F02508  41.465 -24.303 2.23e-17 2.49e-17 1.18e-17 18.13 1774.59
F02492  41.466 -24.388 1.84e-17 1.03e-17 1.08e-17 18.03 1774.72
F02490  41.470 -24.369 1.72e-17 1.41e-17 8.73e-18 22.22 1774.44
F02488  41.476 -24.358 2.07e-17 1.59e-17 1.36e-17 26.15 1774.44
F02502  41.479 -24.316 1.50e-17 1.06e-17 9.32e-18 11.15 1774.60
F02505  41.481 -24.287 3.17e-17 3.27e-17 1.82e-17 15.92 1774.59
F02486  41.486 -24.535 2.76e-17 1.13e-17 1.08e-17 15.50 1774.47
F02507  41.568 -24.327 3.57e-17 3.03e-17 1.63e-17 22.49 1774.74
F02496  41.586 -24.555 1.91e-17 1.16e-17 7.58e-18 23.79 1774.55
F02503  41.611 -24.584 4.79e-17 3.01e-17 2.09e-17 17.73 1774.40
F02484  41.832 -24.516 2.44e-17 2.33e-17 1.26e-17 21.00 1774.79
