name x y flux0 flux1 flux2 width rv
F04465 -37.344  -8.320 1.05e-16 1.00e-16 7.49e-17 43.07  733.98
F04452 -37.342  -6.791 1.61e-16 1.29e-16 6.99e-17 42.35  733.92
F04470 -37.165  -7.395 1.04e-16 6.70e-17 4.12e-17 49.30  734.32
F04448 -37.134  -8.273 6.59e-17 5.05e-17 3.44e-17 50.54  734.14
F04463 -37.101  -7.875 2.66e-16 1.42e-16 1.01e-16 59.07  734.04
F04467 -37.101  -7.401 1.59e-16 1.09e-16 6.66e-17 52.96  734.14
F04449 -37.099  -7.424 7.64e-17 4.50e-17 3.83e-17 50.41  734.26
F04460 -37.085  -7.286 5.16e-17 3.57e-17 2.66e-17 53.39  734.23
F04455 -37.075  -6.512 9.52e-17 5.97e-17 4.39e-17 44.87  734.07
F04458 -37.041  -7.445 5.58e-17 4.15e-17 2.22e-17 40.91  733.92
F04459 -37.040  -7.434 1.38e-16 1.21e-16 7.53e-17 48.97  734.19
F04471 -37.037  -7.370 1.24e-16 1.20e-16 6.92e-17 38.10  734.11
F04456 -37.036  -7.381 8.65e-17 5.52e-17 3.54e-17 45.31  734.25
F04469 -37.013  -7.371 6.81e-17 6.09e-17 3.78e-17 43.46  734.13
F04454 -37.002  -7.491 6.64e-17 4.52e-17 4.49e-17 39.56  734.15
F04453 -36.994  -7.418 1.11e-16 8.16e-17 6.58e-17 48.60  734.13
F04468 -36.986  -6.911 5.81e-17 3.64e-17 3.11e-17 43.06  734.07
F04461 -36.986  -7.433 1.57e-16 1.22e-16 8.73e-17 37.10  734.15
F04462 -36.973  -7.336 4.37e-17 3.09e-17 2.41e-17 43.59  734.26
F04447 -36.964  -7.446 1.11e-16 8.54e-17 7.54e-17 51.43  734.06
F04464 -36.963  -7.535 1.23e-16 7.64e-17 7.56e-17 28.33  734.30
F04450 -36.946  -7.402 1.69e-16 1.55e-16 7.64e-17 48.66  734.02
F04451 -36.930  -7.324 1.74e-16 1.44e-16 8.93e-17 42.48  733.92
F04457 -36.910  -7.516 1.32e-16 9.97e-17 6.15e-17 45.21  734.21
F04466 -36.714  -7.818 1.18e-16 1.11e-16 6.61e-17 55.19  734.10
F04607 -35.961 -11.906 1.76e-16 1.32e-16 7.01e-17 64.05  526.82
F04609 -35.727 -12.746 2.50e-16 1.41e-16 1.46e-16 52.55  526.80
F04610 -35.719 -12.889 2.29e-16 1.63e-16 1.46e-16 70.83  526.73
F04601 -35.580 -12.367 2.98e-16 2.44e-16 1.52e-16 37.92  526.84
F04604 -35.569 -11.582 3.04e-16 2.32e-16 9.62e-17 80.55  526.65
F04590 -35.561 -12.947 4.13e-16 2.16e-16 1.47e-16 64.54  526.94
F04593 -35.488 -12.316 2.01e-16 1.95e-16 1.04e-16 67.29  526.71
F04597 -35.415 -12.420 2.75e-16 1.81e-16 1.42e-16 75.57  526.82
F04612 -35.410 -12.639 1.37e-16 1.03e-16 7.35e-17 63.58  526.98
F04596 -35.341 -13.484 2.54e-16 1.74e-16 1.34e-16 57.98  526.61
F04591 -35.300 -12.152 1.03e-16 9.06e-17 7.35e-17 67.82  526.56
F04589 -35.267 -12.446 2.00e-16 1.38e-16 9.03e-17 56.71  526.70
F04613 -35.262 -12.123 2.48e-16 1.73e-16 1.28e-16 63.04  526.72
F04592 -35.230 -12.395 1.91e-16 1.44e-16 1.17e-16 81.27  526.56
F04598 -35.224 -12.279 2.74e-16 1.73e-16 1.56e-16 68.59  526.88
F04594 -35.222 -12.396 3.35e-16 2.17e-16 1.40e-16 79.44  526.70
F04602 -35.202 -12.403 3.23e-16 2.08e-16 1.69e-16 72.27  526.82
F04605 -35.197 -12.422 1.99e-16 1.26e-16 9.58e-17 54.62  526.59
F04599 -35.191 -12.419 1.78e-16 1.19e-16 9.44e-17 59.54  526.71
F04588 -35.191 -12.437 2.99e-16 2.27e-16 1.81e-16 69.06  526.80
F04608 -35.180 -12.365 1.73e-16 1.12e-16 7.11e-17 79.53  526.76
F04600 -35.158 -12.208 4.15e-16 3.15e-16 1.32e-16 78.71  526.75
F04595 -35.150 -12.310 3.14e-16 2.12e-16 1.28e-16 60.36  526.79
F04614 -35.120 -12.410 1.66e-16 9.52e-17 9.46e-17 52.05  526.85
F04615 -35.063 -12.423 1.06e-16 1.10e-16 5.98e-17 65.34  526.81
F04617 -35.048 -12.375 2.45e-16 1.85e-16 9.37e-17 60.87  526.85
F04606 -34.965 -11.594 3.77e-16 2.50e-16 1.45e-16 50.67  526.63
F04587 -34.910 -11.984 3.63e-16 1.78e-16 1.16e-16 65.01  526.65
F04611 -34.531 -11.997 6.82e-17 4.72e-17 3.80e-17 71.48  526.70
F04616 -34.378 -10.297 2.81e-16 2.10e-16 1.37e-16 73.87  526.44
F04603 -34.251 -12.643 1.45e-16 1.28e-16 6.51e-17 45.47  526.54
