name x y flux0 flux1 flux2 width rv
F00352 -28.097 -19.986 1.57e-17 1.14e-17 8.37e-18 19.07 2269.21
F00376 -28.061 -19.947 2.43e-17 1.71e-17 1.24e-17 12.49 2269.20
F00367 -28.027 -19.662 1.56e-17 1.57e-17 1.07e-17 13.90 2269.28
F00377 -27.986 -19.944 1.60e-17 1.61e-17 8.19e-18 11.71 2269.15
F00364 -27.977 -19.895 2.47e-17 1.55e-17 1.09e-17 15.15 2269.18
F00370 -27.963 -19.865 1.71e-17 1.35e-17 9.37e-18 14.35 2269.09
F00374 -27.955 -19.928 1.18e-17 1.16e-17 6.23e-18 11.77 2269.15
F00371 -27.954 -19.931 1.39e-17 1.27e-17 6.96e-18 18.46 2269.05
F00358 -27.953 -19.918 1.60e-17 1.17e-17 7.72e-18 16.32 2269.15
F00359 -27.952 -19.982 2.90e-17 1.84e-17 1.25e-17 17.01 2269.10
F00341 -27.951 -19.924 1.73e-17 1.09e-17 6.68e-18 15.17 2269.04
F00365 -27.950 -19.929 2.12e-17 1.38e-17 1.14e-17 15.41 2269.09
F00361 -27.949 -19.905 1.68e-17 1.21e-17 4.92e-18 17.57 2269.15
F00346 -27.941 -19.932 2.29e-17 1.44e-17 8.91e-18 16.92 2269.14
F00351 -27.924 -19.967 1.92e-17 1.12e-17 1.02e-17 16.13 2269.06
F00350 -27.911 -19.936 2.84e-17 2.23e-17 1.44e-17 13.16 2269.23
F00353 -27.867 -19.901 1.51e-17 1.67e-17 8.78e-18 11.44 2269.03
F00366 -27.851 -19.823 1.70e-17 1.51e-17 8.27e-18 15.58 2269.15
F00378 -27.847 -19.890 1.73e-17 1.34e-17 1.06e-17 13.69 2269.09
F00368 -27.636 -19.825 2.51e-17 2.00e-17 8.50e-18 15.92 2269.15
