name x y flux0 flux1 flux2 width rv
F02710 -27.606 -34.096 6.29e-17 4.34e-17 3.05e-17 38.40  866.80
F02701 -27.597 -35.213 1.05e-16 5.70e-17 5.00e-17 40.81  866.87
F02688 -27.351 -34.926 8.53e-17 7.67e-17 4.86e-17 33.82  866.98
F02690 -27.327 -34.721 8.70e-17 6.58e-17 4.89e-17 25.68  866.85
F02697 -27.285 -34.792 9.18e-17 5.46e-17 3.40e-17 31.63  867.07
F02712 -27.282 -35.022 7.84e-17 7.21e-17 4.42e-17 49.16  866.82
F02708 -27.251 -34.764 8.95e-17 7.35e-17 4.80e-17 43.28  866.97
F02699 -27.193 -35.027 1.93e-17 1.54e-17 9.44e-18 36.11  866.94
F02692 -27.149 -34.974 7.77e-17 9.89e-17 3.74e-17 41.09  866.81
F02691 -27.139 -34.267 2.78e-17 2.05e-17 9.99e-18 39.98  866.74
F02694 -27.125 -34.929 2.56e-17 2.45e-17 1.07e-17 42.72  866.78
F02696 -27.111 -34.915 3.27e-17 1.75e-17 1.68e-17 40.16  866.92
F02698 -27.096 -34.942 5.95e-17 3.32e-17 2.59e-17 48.35  866.96
F02704 -27.091 -34.939 1.17e-16 1.02e-16 7.95e-17 39.04  866.79
F02689 -27.087 -34.944 1.30e-16 1.36e-16 6.66e-17 33.60  866.77
F02703 -27.083 -34.925 1.91e-17 1.42e-17 7.73e-18 34.78  866.76
F02693 -27.038 -35.017 1.40e-16 9.62e-17 6.95e-17 36.61  866.68
F02706 -27.034 -34.925 1.04e-16 5.17e-17 5.69e-17 35.00  866.66
F02711 -27.034 -34.926 6.28e-17 6.24e-17 2.63e-17 36.69  866.88
F02705 -27.011 -35.222 5.99e-17 3.42e-17 3.07e-17 41.53  867.06
F02695 -26.991 -34.858 5.63e-17 5.55e-17 3.86e-17 47.85  866.97
F02707 -26.990 -34.992 8.80e-17 6.48e-17 3.29e-17 31.50  866.85
F02700 -26.979 -34.996 1.12e-16 6.85e-17 6.62e-17 33.05  866.85
F02687 -26.910 -34.994 2.85e-17 1.49e-17 1.02e-17 30.38  866.93
F02702 -26.784 -34.292 1.20e-16 9.80e-17 6.07e-17 39.53  866.91
F02709 -26.737 -35.395 9.12e-17 6.24e-17 3.34e-17 31.16  866.87
F06753 -25.938 -36.162 2.73e-17 2.30e-17 1.24e-17 21.05 1752.98
F06765 -25.787 -36.020 1.37e-17 1.33e-17 8.05e-18 12.19 1753.03
F06754 -25.740 -36.201 3.65e-17 2.04e-17 1.65e-17 21.49 1752.82
F06745 -25.738 -36.212 2.26e-17 2.08e-17 1.13e-17 22.55 1753.17
F06761 -25.719 -36.205 2.62e-17 1.83e-17 1.09e-17 15.86 1752.92
F06751 -25.698 -36.184 2.28e-17 1.53e-17 1.02e-17 18.20 1752.89
F06757 -25.672 -36.156 1.71e-17 1.54e-17 9.85e-18 15.97 1752.89
F06750 -25.671 -36.163 2.50e-17 2.24e-17 1.71e-17 20.06 1752.97
F06759 -25.656 -36.140 2.12e-17 1.16e-17 9.43e-18 17.29 1753.09
F06766 -25.650 -36.140 2.76e-17 1.89e-17 1.31e-17 16.96 1752.88
F06748 -25.647 -36.158 1.75e-17 1.26e-17 7.65e-18 19.16 1753.06
F06760 -25.631 -36.147 3.66e-17 2.58e-17 1.45e-17 23.12 1752.86
F06752 -25.625 -36.009 4.09e-17 2.05e-17 1.35e-17 22.35 1752.95
F06755 -25.595 -36.095 2.78e-17 1.55e-17 1.07e-17 27.74 1752.94
F06749 -25.511 -36.288 3.57e-17 2.67e-17 1.75e-17 21.22 1752.85
