name x y flux1 flux2 flux3 par rv
P00525  -8.623 -10.051 1.13e-17 7.05e-18 4.60e-18  -0.001    0.19
P02678  -6.292  -8.801 1.12e-17 9.15e-18 5.12e-18  -0.001    0.18
P00239  -6.206  -7.631 2.67e-16 1.44e-16 7.28e-17  -0.001   -0.04
P00391  -6.124  -7.249 6.25e-17 4.27e-17 2.22e-17   0.003   -0.12
P01126  -5.416  -8.064 1.48e-16 8.96e-17 4.03e-17   0.000   -0.03
P02759  -5.372 -11.342 6.22e-16 3.46e-16 1.53e-16   0.001    0.45
P00566  -5.522  -9.133 7.41e-17 5.57e-17 2.38e-17   0.002    0.18
P04704  -5.378  -9.745 2.04e-17 1.49e-17 7.28e-18   0.001    0.33
P00892  -5.378  -8.530 6.78e-17 4.06e-17 2.21e-17  -0.001    0.04
P04010  -5.163  -9.079 2.81e-16 1.35e-15 3.94e-15   0.000    0.19
P02635  -5.163  -8.767 1.15e-14 1.51e-14 1.40e-14   0.000    0.12
P04695  -5.206  -9.678 4.05e-16 1.66e-16 8.24e-17   0.002    0.28
P01504  -5.131  -9.041 1.01e-15 5.43e-16 1.95e-16   0.000    0.13
P03450  -4.987  -7.256 2.00e-17 1.10e-17 7.75e-18   0.001   -0.21
P04774  -4.900  -9.301 8.07e-17 4.19e-17 2.25e-17   0.000    0.22
P05057  -4.840  -9.236 1.46e-15 7.00e-16 3.04e-16   0.002    0.25
P00219  -4.807 -11.118 8.69e-17 5.00e-17 2.31e-17   0.000    0.42
P02857  -4.915  -8.334 1.90e-17 1.55e-17 8.21e-18  -0.000   -0.12
P03165  -4.757  -9.368 8.05e-17 5.11e-17 2.64e-17   0.001    0.35
P03209  -4.812  -8.831 2.55e-16 1.50e-16 6.60e-17   0.001    0.03
P03375  -4.714  -9.038 1.27e-17 1.03e-17 5.94e-18  -0.001    0.19
P04639  -4.818 -10.510 4.25e-16 2.44e-16 9.07e-17  -0.000    0.41
P03977  -4.825  -8.830 1.09e-15 5.91e-16 2.50e-16  -0.000    0.01
P02046  -4.690 -10.262 2.22e-16 1.16e-16 5.35e-17   0.000    0.43
P03341  -4.636  -9.527 3.57e-16 1.81e-16 8.74e-17  -0.001    0.39
P04507  -4.634  -9.777 1.98e-17 1.23e-17 8.33e-18   0.000    0.46
P04894  -4.717  -8.521 4.61e-17 2.33e-17 1.29e-17   0.000   -0.05
P02583  -4.654  -9.115 5.38e-17 3.17e-17 1.70e-17  -0.002    0.19
P03844  -4.640  -7.099 4.54e-17 2.99e-17 1.39e-17   0.002   -0.27
P03741  -4.703  -7.694 1.87e-14 9.67e-15 4.71e-15   0.002   -0.23
P00139  -4.607  -9.243 1.10e-17 8.59e-18 5.24e-18  -0.000    0.24
P00468  -4.549  -9.446 1.08e-17 6.91e-18 4.00e-18  -0.001    0.31
P01462  -4.579  -9.195 9.07e-16 4.54e-16 2.05e-16  -0.001    0.26
P01168  -4.603  -8.974 2.91e-16 1.45e-16 7.60e-17   0.000    0.05
P01774  -4.616  -9.142 4.29e-16 2.18e-16 9.94e-17  -0.001    0.18
P02753  -4.589  -8.795 2.43e-14 1.78e-14 1.30e-14  -0.001   -0.00
P02154  -4.406  -9.173 1.10e-14 6.18e-15 2.34e-15  -0.000    0.28
P00458  -4.562  -8.815 1.39e-15 7.05e-16 3.50e-16  -0.000   -0.06
P03093  -4.545  -9.340 7.74e-17 4.39e-17 2.70e-17   0.001    0.24
P01620  -4.483  -9.152 4.28e-16 2.19e-16 9.71e-17  -0.000    0.07
P04732  -4.459 -10.318 2.19e-14 1.96e-14 1.42e-14  -0.000    0.40
P04424  -4.543  -8.915 1.31e-16 6.99e-17 3.46e-17  -0.001   -0.01
P03359  -4.533  -9.071 5.40e-16 2.75e-16 1.21e-16   0.001    0.23
P01853  -4.471  -9.001 3.07e-16 1.54e-16 7.75e-17  -0.001    0.11
P03691  -4.425  -8.917 1.18e-16 6.82e-17 3.96e-17   0.001   -0.02
P02502  -4.473  -9.025 4.89e-17 2.91e-17 1.82e-17   0.000    0.06
P03125  -4.342  -9.122 4.21e-17 2.41e-17 1.35e-17   0.001    0.24
P00516  -4.480  -9.602 1.35e-14 7.16e-15 3.13e-15   0.000    0.34
P03896  -4.459  -8.950 2.48e-14 1.58e-14 8.91e-15  -0.001   -0.02
P02585  -4.445  -8.706 7.58e-16 3.94e-16 1.64e-16   0.002   -0.12
P02985  -4.466  -8.816 9.99e-16 5.17e-16 2.12e-16   0.001   -0.06
P01972  -4.588 -11.527 3.15e-17 2.03e-17 1.00e-17  -0.002    0.41
P01383  -4.453  -8.751 2.35e-14 1.60e-14 9.37e-15  -0.000   -0.09
P03183  -4.404  -8.971 7.67e-17 4.20e-17 2.74e-17  -0.001    0.21
P04339  -4.448  -9.035 1.96e-14 2.07e-14 1.54e-14   0.001    0.19
P02242  -4.340  -8.989 4.43e-16 2.33e-16 1.14e-16  -0.001    0.08
P00962  -4.476  -9.021 3.17e-17 1.90e-17 1.06e-17   0.001   -0.01
P04381  -4.437  -8.881 7.90e-17 5.42e-17 2.64e-17  -0.001    0.08
P03789  -4.436  -8.665 5.49e-17 3.49e-17 1.68e-17   0.002   -0.14
P01024  -4.508  -9.172 2.22e-16 1.15e-16 5.28e-17  -0.001    0.22
P00761  -4.471  -9.214 2.34e-16 1.40e-16 5.95e-17   0.001    0.31
P01625  -4.429  -8.523 2.90e-17 1.82e-17 1.12e-17  -0.000   -0.15
P04508  -4.335  -8.867 1.49e-16 7.81e-17 3.54e-17  -0.001   -0.04
P00591  -4.358  -9.060 4.47e-17 2.45e-17 1.42e-17  -0.000    0.18
P00121  -4.294  -9.014 5.12e-17 3.14e-17 1.58e-17  -0.002    0.13
P01161  -4.357  -9.027 1.80e-17 1.09e-17 7.15e-18   0.002    0.14
P00393  -4.341  -8.921 1.61e-16 8.69e-17 4.01e-17   0.001    0.12
P04901  -4.397  -9.104 2.08e-16 1.16e-16 6.24e-17  -0.001    0.01
P02299  -4.409  -8.779 2.04e-16 1.21e-16 5.75e-17   0.002   -0.04
P01940  -4.358  -8.838 4.42e-17 3.12e-17 1.57e-17   0.000   -0.06
P02532  -4.544  -9.019 2.45e-14 1.99e-14 1.48e-14  -0.002   -0.02
P01800  -4.324  -9.027 7.77e-17 4.22e-17 2.40e-17   0.001    0.12
P04305  -4.417  -8.998 2.85e-16 1.33e-16 7.16e-17   0.001   -0.04
P03371  -4.418  -9.005 2.08e-16 1.14e-16 5.23e-17  -0.001    0.10
P03059  -4.401  -8.572 1.09e-17 7.43e-18 4.81e-18   0.000   -0.11
P03675  -4.395  -8.145 3.93e-17 2.36e-17 1.36e-17  -0.000   -0.18
P03627  -4.493 -10.079 7.00e-16 3.49e-16 1.73e-16  -0.000    0.38
P04387  -4.234  -9.177 1.24e-14 6.03e-15 3.29e-15   0.001    0.09
P05058  -4.352  -9.402 2.43e-14 1.28e-14 7.82e-15  -0.000    0.33
P03634  -4.395  -9.311 1.07e-17 7.60e-18 4.62e-18   0.000    0.18
P00349  -4.183  -9.029 9.19e-15 4.52e-15 2.29e-15   0.002    0.13
P05101  -4.428  -9.098 2.59e-14 1.32e-14 7.17e-15  -0.001    0.16
P00857  -4.215  -9.066 1.42e-17 1.04e-17 5.74e-18  -0.001    0.12
P00076  -4.190  -9.133 9.17e-17 5.02e-17 2.43e-17  -0.001    0.21
P02847  -4.355  -8.708 2.59e-17 1.69e-17 8.02e-18  -0.001   -0.14
P02454  -4.225  -9.037 2.48e-17 1.71e-17 9.96e-18   0.001    0.14
P01399  -4.233  -9.060 3.87e-16 1.99e-16 1.00e-16   0.002    0.12
P00308  -4.180  -9.070 3.02e-17 1.85e-17 1.07e-17  -0.000    0.05
P03118  -4.093  -9.891 2.71e-17 1.83e-17 8.59e-18   0.002    0.33
P03907  -4.325  -9.377 3.68e-17 2.72e-17 1.45e-17   0.000    0.17
P05110  -4.280  -8.822 2.15e-14 1.37e-14 6.68e-15  -0.001   -0.07
P03328  -4.071  -8.975 6.38e-17 3.30e-17 2.06e-17  -0.001   -0.09
P02771  -4.135  -9.051 4.17e-16 2.02e-16 1.03e-16  -0.001   -0.01
P03796  -4.136  -9.228 1.89e-17 1.37e-17 8.25e-18   0.001    0.12
P00215  -4.197 -10.130 1.33e-17 8.53e-18 5.56e-18  -0.001    0.33
P00478  -4.129  -8.821 2.44e-14 1.38e-14 7.38e-15   0.001   -0.06
P04265  -3.962  -9.540 2.18e-16 1.15e-16 5.76e-17   0.000    0.18
P00984  -4.108  -9.854 7.07e-17 3.86e-17 1.86e-17  -0.003    0.32
P04380  -4.127  -9.307 3.61e-16 2.02e-16 1.07e-16  -0.001    0.15
P01307  -4.050  -7.857 2.79e-16 1.21e-16 5.93e-17  -0.001   -0.20
P01695  -3.957  -7.517 2.06e-17 1.30e-17 7.60e-18   0.000   -0.24
P04961  -4.041  -8.882 1.14e-17 7.81e-18 5.17e-18   0.000   -0.07
P03340  -4.034  -9.089 4.03e-17 2.60e-17 1.27e-17  -0.000    0.04
P03314  -4.048 -10.151 3.63e-17 1.96e-17 1.04e-17  -0.001    0.33
P00621  -3.959  -7.862 1.04e-17 6.90e-18 4.28e-18   0.000   -0.19
P03612  -3.934  -8.633 2.29e-16 1.32e-16 7.23e-17  -0.000   -0.14
P02864  -4.040  -8.790 1.47e-15 3.94e-15 7.55e-15   0.001   -0.04
P00956  -3.819  -8.255 1.54e-14 7.60e-15 4.72e-15   0.000   -0.18
P00586  -3.723  -9.846 6.66e-16 3.09e-16 1.39e-16   0.001    0.28
P01773  -3.831  -6.980 1.09e-17 8.93e-18 4.89e-18   0.001   -0.22
