name x y flux0 flux1 flux2 width rv
F00808 -10.936 -40.891 2.42e-17 2.96e-17 1.47e-17 34.10 1169.23
F00801 -10.446 -41.502 2.92e-17 3.09e-17 1.61e-17 28.58 1169.04
F00807 -10.339 -40.751 3.10e-17 2.32e-17 1.34e-17 35.05 1169.25
F01231 -10.230 -44.817 1.54e-17 1.04e-17 8.74e-18 15.60 1770.63
F01223 -10.186 -44.903 3.49e-17 1.82e-17 1.45e-17 18.68 1770.68
F00792 -10.170 -40.723 5.87e-17 2.91e-17 2.29e-17 32.91 1169.20
F01222 -10.170 -44.873 4.70e-17 2.28e-17 2.06e-17 29.62 1770.62
F01233 -10.161 -44.863 1.84e-17 2.26e-17 1.20e-17 17.86 1770.64
F01221 -10.127 -44.868 1.88e-17 1.45e-17 7.25e-18 19.72 1770.94
F01228 -10.125 -44.810 1.89e-17 2.18e-17 1.55e-17 20.44 1770.73
F01236 -10.110 -44.941 2.99e-17 1.73e-17 9.53e-18 21.84 1770.56
F01238 -10.095 -44.886 1.26e-17 1.30e-17 6.98e-18 18.37 1770.60
F01226 -10.092 -44.886 2.01e-17 1.86e-17 8.73e-18 19.55 1770.87
F01230 -10.078 -44.887 2.89e-17 2.39e-17 1.58e-17 17.49 1770.82
F01243 -10.076 -44.896 3.00e-17 1.63e-17 7.04e-18 18.17 1770.58
F01224 -10.076 -44.810 3.25e-17 2.65e-17 1.58e-17 16.62 1770.60
F01225 -10.070 -44.842 1.97e-17 1.80e-17 1.20e-17 17.85 1770.59
F00791 -10.018 -40.585 5.70e-17 2.90e-17 2.43e-17 35.04 1169.18
F00800 -10.012 -41.012 3.43e-17 3.05e-17 1.86e-17 33.20 1169.17
F00799 -10.003 -40.685 8.21e-17 5.27e-17 3.85e-17 27.20 1169.17
F01232 -10.003 -44.857 1.75e-17 1.57e-17 6.91e-18 17.07 1770.60
F01241  -9.998 -44.854 3.44e-17 2.73e-17 1.60e-17 17.27 1770.57
F00788  -9.988 -40.959 9.06e-17 9.13e-17 4.86e-17 29.17 1169.08
F00813  -9.809 -40.810 3.07e-17 1.50e-17 1.43e-17 24.66 1169.18
F01242  -9.797 -44.944 2.19e-17 2.45e-17 9.24e-18 22.93 1770.69
F00809  -9.770 -40.757 7.54e-17 6.88e-17 4.58e-17 22.82 1169.20
F00796  -9.767 -40.791 2.50e-17 1.68e-17 8.74e-18 20.45 1169.22
F00806  -9.753 -40.801 4.38e-17 3.68e-17 1.89e-17 24.23 1169.35
F00804  -9.749 -40.785 3.50e-17 2.17e-17 1.58e-17 24.46 1169.37
F00795  -9.748 -40.787 5.23e-17 3.68e-17 3.35e-17 33.09 1169.16
F00805  -9.736 -40.937 4.70e-17 4.61e-17 2.29e-17 23.69 1169.20
F00793  -9.721 -40.764 3.90e-17 3.79e-17 2.13e-17 30.82 1169.19
F00789  -9.712 -40.822 3.28e-17 1.71e-17 1.28e-17 29.32 1169.28
F00802  -9.695 -40.726 5.48e-17 2.97e-17 2.55e-17 31.31 1169.08
F00798  -9.666 -40.756 7.56e-17 4.97e-17 3.86e-17 30.67 1169.33
F00797  -9.653 -40.774 6.05e-17 2.80e-17 1.93e-17 27.25 1169.32
F00812  -9.647 -40.822 5.26e-17 3.78e-17 2.08e-17 30.73 1169.13
F00794  -9.570 -40.715 5.10e-17 3.25e-17 2.21e-17 22.45 1169.18
F00811  -9.547 -40.718 5.05e-17 3.62e-17 2.10e-17 37.74 1169.04
F00790  -9.392 -40.739 3.40e-17 1.61e-17 1.05e-17 30.57 1169.01
F00810  -9.325 -40.582 5.21e-17 3.95e-17 4.18e-17 33.43 1169.22
F00803  -9.175 -40.959 6.18e-17 4.28e-17 2.19e-17 31.60 1169.14
