name x y flux0 flux1 flux2 width rv
F03544   0.529 -26.151 1.02e-16 7.11e-17 4.49e-17 30.58  892.49
F03527   0.586 -26.068 6.53e-17 3.41e-17 1.93e-17 39.78  892.46
F03543   0.589 -26.171 3.76e-17 2.19e-17 2.19e-17 37.46  892.42
F03540   0.593 -26.340 1.10e-16 9.85e-17 6.96e-17 36.16  892.40
F03535   0.598 -26.333 1.37e-16 1.05e-16 4.74e-17 41.24  892.43
F03530   0.635 -26.418 9.84e-17 3.50e-17 2.70e-17 34.72  892.57
F03538   0.641 -26.221 1.75e-16 9.91e-17 1.04e-16 39.27  892.27
F03536   0.685 -26.233 3.96e-17 2.38e-17 1.42e-17 49.96  892.39
F03542   0.721 -26.154 6.60e-17 6.81e-17 4.46e-17 32.49  892.44
F03529   0.724 -26.209 1.06e-16 7.21e-17 3.92e-17 44.45  892.37
F03532   0.725 -26.331 5.37e-17 3.14e-17 2.69e-17 33.67  892.47
F03537   0.738 -26.199 1.62e-16 7.87e-17 5.88e-17 32.43  892.36
F03534   0.744 -26.242 8.66e-17 8.27e-17 6.59e-17 40.60  892.32
F03528   0.744 -26.231 8.60e-17 6.03e-17 4.22e-17 40.54  892.30
F03526   0.752 -26.187 1.71e-16 8.40e-17 6.13e-17 46.31  892.46
F03547   0.752 -26.238 3.80e-17 3.26e-17 1.67e-17 30.37  892.38
F03524   0.769 -26.266 1.44e-16 1.06e-16 5.56e-17 42.31  892.42
F03539   0.770 -26.280 1.00e-16 6.87e-17 5.16e-17 35.24  892.28
F03545   0.774 -26.279 1.46e-16 1.57e-16 8.08e-17 42.84  892.50
F03533   0.822 -26.321 1.11e-16 1.11e-16 6.21e-17 38.39  892.43
F03525   0.828 -26.345 1.04e-16 6.47e-17 5.04e-17 47.42  892.42
F03541   0.836 -26.321 1.04e-16 8.95e-17 4.24e-17 31.83  892.46
F03523   0.838 -26.217 3.52e-17 2.26e-17 1.81e-17 34.39  892.23
F03531   0.843 -26.341 1.44e-16 1.02e-16 6.89e-17 34.96  892.37
F03548   0.850 -26.255 9.50e-17 5.79e-17 2.68e-17 36.36  892.43
F05980   0.929 -16.481 8.06e-17 6.67e-17 4.90e-17 35.06  775.89
F05968   1.077 -17.453 9.68e-17 9.85e-17 5.81e-17 34.75  775.87
F03546   1.087 -26.103 1.36e-16 8.43e-17 6.80e-17 42.72  892.44
F05967   1.305 -17.141 1.06e-16 8.30e-17 4.86e-17 43.89  775.69
F05962   1.323 -17.040 1.02e-16 1.02e-16 5.14e-17 51.46  775.75
F05978   1.443 -17.165 1.24e-16 9.28e-17 5.15e-17 63.76  776.14
F05981   1.473 -16.673 6.01e-17 6.39e-17 2.47e-17 38.01  775.82
F05960   1.487 -16.948 5.29e-17 2.40e-17 2.88e-17 38.96  775.83
F05985   1.494 -17.455 7.17e-17 6.32e-17 5.42e-17 49.55  775.82
F05974   1.503 -17.128 1.27e-16 4.08e-17 6.24e-17 45.97  775.98
F05982   1.511 -17.034 1.15e-16 8.15e-17 7.81e-17 60.44  775.76
F05976   1.524 -17.175 8.71e-17 6.27e-17 4.22e-17 37.99  775.68
F05965   1.542 -17.051 1.66e-16 1.08e-16 8.73e-17 35.28  775.89
F05983   1.544 -17.054 6.77e-17 4.92e-17 3.71e-17 42.00  775.76
F05975   1.549 -17.074 1.45e-16 1.25e-16 8.21e-17 47.21  776.05
F05961   1.550 -17.098 1.04e-16 7.91e-17 7.41e-17 48.16  775.92
F05955   1.551 -17.182 5.86e-17 4.17e-17 2.87e-17 31.15  775.99
F05966   1.561 -17.141 1.25e-16 6.29e-17 4.57e-17 43.19  775.79
F05970   1.568 -17.097 3.06e-17 2.27e-17 1.05e-17 33.79  775.97
F05963   1.570 -17.062 1.83e-16 1.12e-16 6.43e-17 49.76  775.88
F05957   1.570 -17.108 1.20e-16 1.26e-16 5.80e-17 39.78  775.97
F05972   1.578 -17.091 2.22e-16 1.73e-16 1.13e-16 39.26  775.94
F05956   1.580 -16.904 2.18e-17 2.18e-17 1.35e-17 48.67  775.88
F05964   1.598 -17.081 1.15e-16 8.67e-17 5.02e-17 45.93  775.76
