name x y flux0 flux1 flux2 width rv
F06538  21.993 -43.991 2.29e-17 1.72e-17 8.64e-18 24.62 1627.91
F06544  22.061 -43.918 5.80e-17 3.69e-17 2.67e-17 22.34 1627.67
F06539  22.148 -43.879 2.17e-17 1.80e-17 1.22e-17 23.71 1627.89
F04066  22.164 -44.226 1.68e-17 1.38e-17 1.13e-17 23.07 1669.95
F06536  22.212 -43.972 3.70e-17 2.64e-17 1.53e-17 23.89 1627.94
F06529  22.217 -43.866 2.73e-17 1.78e-17 1.97e-17 14.89 1627.71
F06526  22.237 -43.942 4.01e-17 2.15e-17 1.87e-17 19.20 1628.02
F06535  22.252 -43.913 2.26e-17 1.65e-17 7.13e-18 14.25 1627.97
F06541  22.265 -43.958 1.64e-17 1.71e-17 1.02e-17 21.94 1628.00
F04060  22.279 -44.348 3.43e-17 2.02e-17 1.25e-17 16.76 1670.05
F04082  22.281 -44.375 2.45e-17 1.43e-17 1.07e-17 26.94 1670.01
F06537  22.287 -43.942 4.69e-17 2.85e-17 2.36e-17 18.20 1627.84
F04073  22.288 -44.336 3.38e-17 2.30e-17 1.58e-17 19.07 1669.83
F06532  22.292 -43.915 3.20e-17 1.96e-17 1.66e-17 20.54 1627.75
F04074  22.298 -44.379 2.27e-17 1.97e-17 8.88e-18 26.66 1669.93
F04072  22.310 -44.495 3.86e-17 2.09e-17 1.02e-17 18.87 1669.76
F04059  22.313 -44.400 3.26e-17 2.55e-17 1.78e-17 23.06 1669.64
F04070  22.314 -44.355 4.10e-17 4.03e-17 1.58e-17 21.98 1670.05
F04071  22.321 -44.387 1.86e-17 1.88e-17 1.24e-17 16.06 1670.12
F04058  22.330 -44.382 1.84e-17 2.12e-17 9.55e-18 21.74 1669.77
F04081  22.331 -44.377 5.00e-17 3.04e-17 2.19e-17 27.14 1669.89
F04075  22.332 -44.370 2.64e-17 1.33e-17 9.54e-18 19.68 1669.87
F04080  22.332 -44.376 3.29e-17 2.18e-17 1.57e-17 21.22 1669.94
F06523  22.335 -44.113 4.29e-17 2.93e-17 1.65e-17 17.46 1627.79
F04076  22.343 -44.300 3.06e-17 1.69e-17 9.85e-18 17.26 1669.88
F04067  22.350 -44.463 2.65e-17 2.58e-17 1.45e-17 18.65 1669.82
F04077  22.356 -44.308 4.54e-17 2.63e-17 1.53e-17 13.52 1669.91
F04062  22.361 -44.417 4.03e-17 2.35e-17 1.38e-17 16.89 1669.83
F06527  22.380 -43.555 1.84e-17 1.52e-17 8.08e-18 25.28 1627.80
F04061  22.384 -44.392 3.00e-17 1.97e-17 1.21e-17 22.45 1669.84
F04065  22.402 -44.287 1.97e-17 1.45e-17 1.18e-17 21.22 1669.83
F06525  22.430 -43.957 2.42e-17 1.89e-17 1.38e-17 22.47 1627.77
F04068  22.441 -44.370 2.97e-17 1.63e-17 1.52e-17 21.60 1669.78
F04078  22.449 -44.342 3.31e-17 1.67e-17 7.70e-18 22.90 1669.84
F06528  22.503 -43.855 3.50e-17 2.85e-17 1.71e-17 21.01 1627.97
F04064  22.511 -44.530 3.87e-17 3.85e-17 2.03e-17 18.16 1669.93
F06546  22.555 -44.038 2.64e-17 2.45e-17 2.18e-17 18.03 1627.89
F06530  22.561 -43.979 3.42e-17 3.25e-17 1.02e-17 20.70 1627.73
F06531  22.664 -43.776 2.63e-17 1.28e-17 1.34e-17 22.36 1627.97
F01383  27.640 -36.741 8.24e-17 5.73e-17 4.25e-17 69.48  657.33
F01381  28.940 -37.776 1.40e-16 1.23e-16 9.25e-17 50.52  657.77
F01380  28.997 -37.718 1.86e-16 1.04e-16 1.23e-16 60.74  657.65
F01384  29.070 -38.673 3.91e-16 2.86e-16 1.54e-16 53.10  657.81
F01370  29.093 -38.545 1.14e-16 7.33e-17 5.50e-17 43.86  657.72
F01359  29.096 -38.376 6.44e-17 3.40e-17 3.10e-17 65.37  657.85
F01378  29.104 -38.654 2.02e-16 1.74e-16 1.04e-16 48.29  657.61
F05371  29.195 -43.158 1.51e-17 1.03e-17 8.50e-18 17.50 2275.54
F05381  29.229 -43.094 2.14e-17 1.93e-17 1.04e-17 12.97 2275.28
F01360  29.234 -38.119 1.34e-16 8.89e-17 8.61e-17 31.97  657.80
F01358  29.249 -38.407 4.61e-17 3.70e-17 2.60e-17 54.41  657.92
F01379  29.261 -38.486 8.60e-17 5.59e-17 3.47e-17 63.04  657.85
F01365  29.267 -38.862 6.19e-17 3.75e-17 2.00e-17 47.80  657.73
F05362  29.269 -43.126 1.41e-17 1.08e-17 1.29e-17 13.16 2275.41
F05375  29.277 -43.259 2.15e-17 1.10e-17 1.12e-17 21.30 2275.37
F05378  29.302 -43.199 2.18e-17 1.15e-17 1.41e-17 17.83 2275.46
F01366  29.305 -38.474 2.27e-16 2.28e-16 1.45e-16 60.72  657.99
F01361  29.309 -38.603 1.03e-16 1.02e-16 7.68e-17 67.08  657.76
F01357  29.314 -38.518 1.55e-16 9.61e-17 7.17e-17 45.07  657.73
F01367  29.322 -38.362 6.16e-17 8.78e-17 3.12e-17 55.49  657.91
F01382  29.326 -38.394 1.37e-16 1.45e-16 8.12e-17 49.48  657.81
F05377  29.326 -43.180 1.38e-17 1.18e-17 4.41e-18 13.47 2275.38
F05369  29.328 -43.254 2.50e-17 1.45e-17 1.03e-17 13.06 2275.41
F05368  29.333 -43.195 2.22e-17 1.54e-17 1.24e-17 15.42 2275.42
F05367  29.342 -43.214 3.56e-17 1.99e-17 1.21e-17 11.34 2275.38
F05366  29.347 -43.225 1.59e-17 1.71e-17 6.79e-18 18.88 2275.41
F05358  29.347 -43.409 1.39e-17 1.00e-17 7.20e-18 13.22 2275.23
F05376  29.354 -43.216 1.99e-17 1.40e-17 7.95e-18 16.11 2275.54
F05370  29.355 -43.229 1.56e-17 1.50e-17 7.02e-18 15.11 2275.41
F01377  29.356 -38.602 7.97e-17 6.82e-17 4.53e-17 40.45  657.75
F01376  29.361 -38.716 1.67e-16 1.39e-16 7.71e-17 53.44  657.77
F01356  29.363 -38.505 1.49e-16 1.03e-16 8.52e-17 54.44  657.97
F05364  29.373 -43.237 2.31e-17 1.21e-17 8.47e-18 17.76 2275.35
F01369  29.409 -38.238 1.66e-16 2.19e-16 8.50e-17 56.90  657.71
F01371  29.419 -38.438 2.60e-16 2.39e-16 1.32e-16 53.43  657.98
F01372  29.422 -38.622 1.01e-16 5.90e-17 4.50e-17 54.57  657.76
F01355  29.428 -38.497 1.36e-16 5.89e-17 7.36e-17 52.77  657.99
F05385  29.431 -43.296 1.54e-17 1.31e-17 8.56e-18 16.69 2275.42
F01362  29.435 -38.422 1.83e-16 1.18e-16 1.07e-16 66.20  657.89
F01385  29.483 -38.546 1.16e-16 1.08e-16 5.82e-17 49.76  657.54
F01374  29.484 -38.452 2.35e-16 1.66e-16 8.00e-17 54.11  657.63
F01375  29.628 -38.299 5.73e-17 3.58e-17 2.92e-17 59.45  657.77
F01373  29.693 -38.473 2.22e-16 1.50e-16 7.60e-17 48.51  657.77
F01364  29.807 -39.105 2.14e-16 1.05e-16 1.11e-16 54.61  657.70
F01368  29.869 -38.431 1.72e-16 1.67e-16 1.28e-16 73.53  657.89
F01363  29.911 -39.213 1.94e-16 1.58e-16 1.20e-16 54.07  657.81
